,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Albania,,,,,,,0,,,,,0
,Argentina,,2,,,,,1,,,,,3
,Australia,49,14,18,25,72,115,143,45,54,91,113,739
,Austria,4,63,100,15,42,48,46,21,27,15,14,396
,Bahamas,,,,,,,,,,,0,0
,Belarus,53,43,6,224,41,159,97,65,268,8,14,978
,Belgium,159,59,19,217,243,9,111,22,55,10,,904
,Bosnia-Herzegovina,,,,,,,14,,3,,,17
,Botswana,,,,,,,,4,4,,,8
,Brazil,1,44,53,92,43,151,31,33,40,44,41,572
,Brunei,,,,,,,24,,,,,24
,Bulgaria,86,5,9,4,16,4,2,7,21,8,,161
,Canada,235,236,333,238,186,244,320,344,259,254,312,2962
,Chile,,,,100,,,,,,20,,120
,China,286,670,505,636,1178,1496,1338,1728,2055,1360,1966,13217
,Costa Rica,,,,0,,,,,,,,0
,Czech Republic,73,44,32,32,23,5,11,8,41,30,120,419
,Denmark,,9,6,17,14,8,21,33,9,17,15,149
,Ecuador,,,,,,,,,,6,,6
,Egypt,,,,,,,,,,,22,22
,Eritrea,,0,,,,,,,,,,0
,Estonia,,,,,,,,,,,0,0
,Finland,47,137,77,77,51,58,40,105,81,90,16,779
,France,1842,1702,2402,1991,1918,898,1752,1025,1511,1734,2013,18787
,Germany (FRG),2071,2696,3244,2378,2539,2745,1349,816,722,1785,2049,22394
,Ghana,19,,,,,,,,,,,19
,Greece,13,23,,,,,,,,,,36
,Hungary,82,,9,,,,,,41,,,132
,India,19,33,23,15,27,5,3,,8,53,33,220
,Indonesia,8,8,,1,,,8,,,,4,29
,Iran,2,75,,43,45,45,86,21,12,43,,370
,Ireland,15,30,29,26,26,25,1,25,26,13,,217
,Israel,510,406,539,379,753,686,588,481,414,400,710,5868
,Italy,825,514,688,391,493,516,918,746,867,743,570,7270
,Japan,,,40,,,,,,,,,40
,Jordan,20,,13,12,60,113,,20,25,114,18,395
,Kazakhstan,,6,,,,,,,,,,6
,Kyrgyzstan,,18,18,14,,,,,,,,50
,Libya,113,18,10,18,32,28,,,,,,218
,Luxembourg,,,0,,,,,,,,,0
,Malaysia,,,,,0,,,,,,,0
,Malta,,,,,,,,,,,5,5
,Moldova,18,3,19,29,20,,11,,,,,101
,Montenegro,,71,109,,,18,,,,,,198
,Netherlands,505,1156,1207,462,493,389,546,795,363,643,444,7003
,New Zealand,0,,,,,,,75,,,7,83
,North Korea,20,20,20,20,20,,,,,1,,101
,Norway,6,17,65,118,147,159,156,158,130,114,155,1224
,Oman,1,,,,,,,,,,,1
,Pakistan,24,4,,1,,,,,,,,29
,Philippines,,,4,,,,,,,,,4
,Poland,18,282,163,73,75,28,8,24,142,24,14,852
,Portugal,,,,99,46,,0,0,,18,7,170
,Qatar,,2,,,,,,,,,,2
,Romania,3,8,32,,2,1,0,108,108,2,,264
,Russia,5210,5154,5568,6265,5070,6172,8695,8480,8107,5468,5483,69671
,Saudi Arabia,,18,,,,1,62,,,,,82
,Serbia,,5,5,45,1,31,4,11,29,10,19,160
,Singapore,,,,,31,24,13,76,1,2,48,195
,Slovakia,,7,22,8,,,,4,,5,,47
,South Africa,30,184,126,139,103,235,71,182,97,59,39,1264
,South Korea,108,158,279,178,267,197,331,218,235,163,105,2238
,Spain,108,840,601,602,951,263,1429,546,732,1062,1279,8411
,Sudan,,,,,,,,,11,,,11
,Sweden,534,390,336,454,411,658,699,478,390,342,186,4878
,Switzerland,249,292,300,459,228,239,311,244,174,342,369,3206
,Syria,,3,,,20,20,,,,,,43
,Taiwan (ROC),,,,,16,,,2,,,4,23
,Thailand,,93,,,,,,,,,,93
,Turkey,23,82,58,97,63,72,86,143,156,179,291,1251
,UAE,11,17,3,1,34,39,3,,33,5,63,207
,Ukraine,292,543,624,378,377,470,553,1464,689,657,323,6370
,United Kingdom,1060,987,974,967,1050,1151,1040,934,1645,1644,1214,12665
,United States,6827,7481,7800,6799,6806,8098,9104,9163,7687,10470,10484,90719
,Unknown country,42,2,0,35,13,28,3,20,9,25,23,200
,Uzbekistan,4,,,,209,209,209,,,,34,665
,Venezuela,,7,,3,40,,,,,,,50
,Viet Nam,,14,,,,,,,,,,14
