,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,5530,7245,11658,15712,13850,12148,13996,13859,16082,10305,7157,7310,8346,11400,14757,13075,11961,12065,12461,14352,12475,17614,17274,16683,17629,19704,17060,17020,18402,17447,19743,20773,21046,20315,18202,17647,18125,18046,15669,17817,15397,12797,11956,10528,7393,9286,8710,14152,14495,11227,8189,9281,8106,9048,10467,8129,9427,11612,9776,9864,11994,15350,11803,10571,12061,13553,877127
,Air defence systems,,,42,42,56,197,358,480,605,1300,1523,1254,1355,1263,2110,2172,1879,1383,1344,2081,2107,2980,2786,3391,2804,3356,4535,6429,6579,4853,4116,3377,3321,2813,2371,3089,2091,3321,3249,2913,1440,1465,588,969,754,615,755,775,867,1043,936,702,726,602,598,951,1008,937,1348,1215,1086,1245,1240,1664,1255,1747,116454
,Armoured vehicles,1051,1314,2212,2667,3035,2392,3844,3019,3452,3178,3262,3012,2895,2661,3250,3842,3378,3802,3972,4564,5183,5664,5974,5981,6673,5019,4273,6732,7962,6386,5036,6326,7058,6920,7245,5921,6077,5526,4696,3560,3384,3680,3292,5280,3962,3656,3763,3546,2732,2943,2015,1837,1908,2094,1903,1966,3024,3596,3189,3418,3897,3658,3955,2928,2891,2293,259823
,Artillery,343,555,624,714,569,798,984,796,752,656,566,748,641,610,612,682,1207,965,1218,940,926,1003,886,918,831,957,844,753,601,494,735,1052,1319,1558,1473,1703,1022,1164,1200,910,570,878,792,375,638,479,557,611,424,351,333,136,203,193,442,473,505,588,625,622,772,720,629,386,254,185,48068
,Engines,468,773,818,1141,1003,1096,1342,1239,1036,942,500,263,268,394,382,298,408,382,370,326,397,582,833,752,717,745,730,676,738,682,700,728,792,728,708,637,715,598,738,833,767,675,604,647,613,643,694,568,543,574,549,596,580,707,919,757,651,760,925,927,1107,1159,1295,1361,1466,1311,48873
,Missiles,,,,,,57,55,59,745,1088,735,1069,1023,1283,1598,1570,1537,1396,2083,2078,1389,1507,2173,2608,2737,2969,3021,3348,3823,3303,3874,4340,4589,4026,3894,4386,4715,4966,4852,4430,3987,3837,2265,3363,2884,2870,2971,2841,3900,3038,2595,2088,2511,2085,2450,2615,3248,3210,3332,3138,2659,3142,3611,4286,3337,3216,166806
,Naval weapons,1,,,133,40,111,148,180,103,140,169,111,70,107,286,149,72,65,92,66,33,22,132,81,96,132,114,119,147,139,175,208,213,267,190,159,195,96,113,201,119,125,105,94,50,56,92,81,88,73,74,46,91,174,257,206,189,140,168,73,104,140,190,167,240,97,8108
,Other,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,20,6,6,6,,,24,109,89,56,25,69,87,38,57,22,22,48,59,155,146,100,130,187,255,240,167,328,334,197,149,196,199,124,153,205,223,229,328,259,297,236,162,178,5927
,Satellites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,100,,150
,Sensors,25,4,74,242,376,380,326,333,364,265,415,524,701,776,983,954,1072,1026,741,837,579,521,599,359,354,719,954,729,806,1018,1386,1659,1616,1958,1963,1534,1288,1526,1809,1621,1402,1455,1302,1215,1323,1339,1257,1014,1168,1118,1015,1221,1153,1150,1293,1317,1452,1449,1375,1087,1305,1470,1640,1691,1731,1578,67933
,Ships,946,2191,1000,1814,2028,2609,3171,3130,2759,3465,3078,2053,2190,1426,2502,2303,3381,4038,3395,3157,2850,3145,3326,4087,3507,3683,3689,3987,4007,3814,5910,6478,5577,5336,5505,3352,4752,4260,4517,3328,2889,3168,3048,3305,5027,3718,4822,5071,3423,4545,3357,2850,2360,2979,2991,5038,5035,3991,3218,3720,2604,3096,4014,3993,4573,4470,233049
