,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,11,64,30,187,110,63,379,336,479,426,412,500,436,686,882,724,1158,833,613,675,939,1650,1745,1764,1201,1178,1179,1314,1666,1697,1870,1733,1689,1468,1294,1488,1052,917,965,1322,1011,413,533,140,145,200,282,1039,1619,345,355,394,412,720,1011,936,889,1157,328,389,280,972,360,392,437,586,52478
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,30,45,94,60,60,60,155,140,136,240,231,514,300,360,605,200,166,250,219,124,36,70,190,30,45,30,180,30,130,110,180,110,110,110,50,190,200,200,190,30,30,50,33,46,28,6394
,Armoured vehicles,3,3,13,42,118,205,231,164,181,95,142,184,262,251,165,109,125,117,167,208,201,231,178,220,196,203,392,465,324,282,399,443,394,236,177,41,111,45,104,41,65,68,31,24,46,101,232,275,289,271,139,145,143,41,16,15,46,9,5,25,24,4,18,46,34,50,9627
,Artillery,,,,4,,27,62,38,38,68,65,65,61,34,23,19,11,9,44,26,6,9,12,15,9,41,16,10,51,43,42,17,16,82,53,44,0,,8,,20,57,34,15,5,5,107,106,5,5,11,6,4,7,1,1,1,0,1,9,58,70,14,4,31,20,1660
,Engines,,,,20,,40,20,60,60,60,80,60,40,40,60,60,69,70,69,40,40,66,77,62,61,1,8,14,71,86,91,147,102,40,32,48,62,39,42,46,82,68,83,64,40,88,52,32,22,16,11,31,4,8,90,20,25,75,49,62,44,52,86,120,90,64,3354
,Missiles,,,,,,,4,24,26,34,72,67,118,179,223,222,194,265,261,260,188,79,160,110,177,325,259,275,373,392,378,338,411,500,609,495,505,415,394,323,207,277,142,211,269,191,253,411,496,236,92,111,154,232,376,394,380,465,134,170,259,206,305,325,157,164,15273
,Naval weapons,,,,,,,,,5,19,75,38,28,19,47,19,,,19,,,,,,5,16,3,5,40,,,,,,11,5,,5,,11,5,21,5,5,,,10,8,3,,,,,,,,,,,,,,,,,,424
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,84,38,29,,,,,,,1,2,3,,49,49,,,,34,29,100,105,9,,,,,,,,,,,,,,,553
,Satellites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,50
,Sensors,,,,63,75,63,,,,,,5,27,16,13,3,28,35,16,,20,37,71,27,17,41,38,18,8,58,187,201,102,157,241,200,168,163,148,208,126,133,184,229,292,262,184,162,197,201,124,92,81,63,25,77,172,217,130,143,131,204,167,363,388,423,7216
,Ships,,,,,68,73,182,119,17,82,58,18,,5,17,33,56,176,264,222,244,177,314,585,370,292,46,421,602,229,591,633,597,669,226,1082,924,32,52,36,56,36,55,,16,76,739,984,449,555,170,484,568,260,695,299,,280,1145,932,72,215,25,227,551,678,19073
