,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,8,30,,,,0,,,,,2,,1,0,10,5,,,,15,41,70,44,10,60,68,125,63,113,145,66,62,134,64,1,117,3,6,205,226,216,11,60,39,73,23,53,120,72,7,108,99,48,97,15,100,156,27,69,87,30,51,3256
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,16,32,,,70,150
,Armoured vehicles,,,,,,,,4,,,,,,,3,,,,,14,10,,,,,1,,4,19,18,18,,,14,61,7,10,25,,,,0,0,,,1,,14,,,,,,,,3,8,114,126,349,60,22,9,9,19,31,975
,Artillery,,,,,,,,,,,,,,,,10,13,13,13,5,3,21,22,1,,38,,56,4,2,,,,6,29,,3,4,29,,,5,10,10,18,10,28,20,4,4,11,12,18,12,59,63,63,9,16,22,13,1,,5,3,6,691
,Engines,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Missiles,,,,,,,,,,,,,,,,,,,,,,,9,,9,11,18,18,16,18,64,50,61,55,46,60,60,29,28,48,63,73,85,105,45,64,71,84,97,92,158,142,267,146,165,104,98,115,94,101,155,140,132,115,92,120,3521
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,42,60,80,40,,,,20,21,20,,15,15,335
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,20,,,,20,,,,,,,40,20,12,27,27,12,12,19,6,6,5,9,2,286
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,18,18,4,20,18,74,63,50,39,16,103,168,166,138,106,110,99,160,100,164,248,270,215,180,217,320,3084
,Ships,,,,,,,,,,23,,,,,,,,,,,,,,,,,,114,114,85,67,108,80,194,80,80,147,16,16,44,,,,21,,5,45,40,17,55,80,24,30,58,160,41,23,18,,6,,87,,12,16,95,1999
