,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,105,17,24,,7,53,9,25,24,,68,224,241,217,353,229,171,99,137,284,223,240,198,251,334,373,413,339,554,496,561,459,662,324,338,450,92,119,63,48,26,179,133,84,68,95,19,39,1,1,33,56,196,79,55,184,112,168,107,158,317,404,284,257,314,418,12610
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,,,,40,60,40,,,,,,,,,16,16,,,,,,,,,,,32,48,48,32,,,422
,Armoured vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27,44,34,79,21,50,48,24,3,2,2,4,,,,,10,2,,,,6,7,32,23,,18,61,29,85,98,11,38,20,22,67,124,20,1011
,Artillery,,,,,,,8,8,20,8,20,17,17,22,13,58,53,9,,20,17,89,32,18,,27,43,34,20,11,,13,24,70,108,104,20,11,11,,,,12,3,3,8,2,5,6,6,2,3,5,8,,,,12,,,,,,4,,,1001
,Engines,,,,,,,,,,,,,,,,,,,,,,,,8,,,8,,,,,,,,,,,,,,,,,,,,1,1,3,3,3,3,3,,,,,,,2,2,,,,,,35
,Missiles,,,,,,,,,,,,,,,,,,,,,,30,30,,,27,25,16,21,56,101,138,168,93,123,24,42,93,86,52,28,43,18,9,6,13,25,32,30,19,35,8,27,8,27,22,26,68,61,113,29,93,84,47,43,20,2057
,Naval weapons,,,,,,,,,,,,,,,,,,,10,,,,21,38,53,48,13,65,53,33,93,153,168,153,130,85,53,43,53,148,99,39,23,60,13,20,44,29,40,21,33,18,22,29,43,35,27,11,24,27,40,39,49,53,51,38,2331
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,28,28,14,21,28,,28,28,28,,219
,Sensors,,,,,,,,,,,,,,,3,,10,19,14,14,17,37,16,26,30,51,24,14,17,18,21,10,39,75,,14,19,12,63,44,22,61,61,64,50,11,74,36,76,19,36,67,78,90,90,149,121,145,87,76,30,20,23,38,38,75,2237
,Ships,33,100,,,4,90,240,243,190,,16,,,,,,,,,,,,,,,,,33,,646,358,863,567,377,516,220,,289,48,,30,15,,116,54,148,163,313,254,415,58,58,115,140,16,361,172,172,,87,,294,208,341,146,,8504
