,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369,1950,350,2030,1801,1458,722,1391,2050,3661,3773,3500,4081,1534,1946,3292,2968,2385,2889,4642,3155,2643,2338,3085,59011
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,94,174,9,112,156,171,449,457,166,233,154,256,391,459,561,711,550,687,994,686,1151,339,392,9351
,Armoured vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,861,660,876,807,832,694,558,488,633,470,210,310,297,433,593,387,451,747,941,1218,536,669,371,14595
,Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,42,71,33,,9,83,49,16,7,5,,,14,19,14,19,5,48,52,73,38,5,603
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,14,16,28,11,11,4,4,6,23,20,81,132,79,75,100,125,139,218,249,372,506,544,387,3193
,Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,208,147,282,329,256,404,833,660,574,981,662,710,862,1046,912,1742,1446,826,1114,1097,1260,660,617,17766
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,3,4,,23,3,12,3,15,3,,30,,20,23,11,1,15,15,20,25,44,34,311
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,8,5,5,,,6,6,6,6,6,6,54,54,54,54,54,6,6,,,72,415
,Satellites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,21,16,15,29,65,33,46,24,132,81,92,171,96,59,14,128,15,174,161,186,95,78,106,1840
,Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,283,63,566,401,543,,886,762,195,50,589,555,1946,1048,,126,10,559,526,1689,1819,660,414,14165
