,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,1452,2038,2195,2506,2986,2354,2909,2065,2204,1126,588,328,286,540,204,435,399,355,555,563,206,752,698,709,778,508,693,538,300,255,491,673,676,697,576,540,630,606,240,1261,1176,663,382,556,612,515,626,1481,842,353,494,592,151,147,294,255,340,312,395,726,747,525,171,715,745,928,52659
,Air defence systems,,,,,,,,,,,,,30,70,280,280,121,,,96,35,84,155,162,1,252,133,133,49,35,35,35,56,329,399,378,294,1666,1533,1400,15,23,,38,,,,27,189,189,135,135,227,,,25,25,25,,,,,,,,,9095
,Armoured vehicles,16,9,0,696,893,543,859,490,284,185,262,87,67,101,131,281,213,270,224,312,319,366,556,731,778,767,216,305,675,544,234,403,396,432,360,365,195,113,15,40,63,39,48,35,37,172,166,80,42,40,170,117,134,125,69,14,,5,29,18,1,,,8,,7,15153
,Artillery,0,8,8,8,8,,,,,,,,,,,2,,,,,,23,43,,,11,27,38,,,5,11,,42,42,13,7,9,8,72,59,39,47,30,55,50,53,10,19,10,23,7,9,,10,56,138,146,173,173,182,183,156,67,17,2,2099
,Engines,453,773,818,1121,1003,1056,1240,1139,876,882,320,185,188,256,268,132,190,191,219,198,230,381,501,434,449,396,389,360,356,210,182,202,198,293,251,235,276,216,259,271,282,232,159,148,112,106,113,117,52,50,77,67,90,96,98,115,56,40,64,43,64,40,161,99,92,88,20255
,Missiles,,,,,,,,,,,0,1,5,23,55,48,46,5,17,59,28,45,75,76,11,96,69,84,34,17,55,79,138,221,213,149,151,219,193,114,116,157,135,239,91,229,136,148,176,89,126,9,32,43,69,134,161,251,129,16,32,159,314,270,57,72,5718
,Naval weapons,,,,9,15,25,34,49,28,66,,,14,35,12,1,2,,,,,,15,5,,,,10,,10,,,3,1,,,,,,5,,5,5,,5,,,,,,6,6,,,,,,,,,,,,,,,366
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,23,,,,,,,,,50,,,40,40,30,40,10,30,60,50,100,80,70,80,21,10,20,10,23,83,40,30,10,20,1044
,Sensors,21,,23,,,3,3,33,26,30,26,32,20,23,64,46,75,85,102,43,19,30,36,23,21,28,96,66,40,32,30,136,139,260,239,180,86,119,105,200,77,63,93,59,83,86,79,91,46,94,110,62,38,61,44,68,17,27,20,26,28,10,16,16,16,14,3879
,Ships,358,386,201,280,242,792,1023,1037,561,1127,951,540,506,249,390,245,294,1066,497,491,39,464,286,610,298,276,812,751,677,320,583,772,902,238,452,261,328,639,198,186,78,253,310,317,504,277,459,394,37,513,424,331,309,192,552,313,229,158,138,38,73,40,77,440,707,83,27569
