,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,1057,2698,5054,7007,3601,4321,5406,5913,6612,3083,2451,3378,3579,6408,8832,7110,4907,4240,5222,7450,5850,7878,7090,7614,8626,12447,10722,8896,7559,5220,5722,7571,8415,8759,7307,6869,7516,8278,7542,6958,6054,7660,8772,5557,4463,5411,4951,8855,10535,8040,4572,3314,2419,3183,4016,4018,4274,4981,4092,4008,5241,5766,5758,3716,6171,6181,397175
,Air defence systems,,,,,14,155,312,387,313,1005,1144,568,428,370,1110,1145,728,297,289,241,295,287,130,224,392,421,1294,1782,2297,1292,1220,849,768,656,304,146,159,495,426,585,890,1051,319,589,300,413,573,362,374,160,162,107,97,183,118,221,246,35,264,317,269,55,234,243,595,897,31600
,Armoured vehicles,123,177,634,447,497,601,1115,949,990,826,524,631,630,551,696,816,912,552,576,932,955,1244,982,911,895,639,1025,1135,944,1013,420,1248,961,832,1176,1007,1091,796,624,520,1041,1135,1601,3124,1722,1531,1818,1435,588,463,301,348,502,522,599,575,619,720,681,902,829,1102,865,776,898,802,57093
,Artillery,76,238,289,285,287,423,511,426,365,298,202,245,204,229,212,343,597,382,470,373,377,349,284,300,250,294,288,223,263,161,152,290,375,437,448,457,150,133,165,179,176,442,322,161,228,192,163,294,174,81,82,41,56,44,98,132,18,96,22,34,66,75,96,63,5,45,15241
,Engines,15,,,,,,82,40,100,,100,17,34,93,51,71,81,73,72,80,109,109,219,178,174,205,171,166,163,224,218,234,266,235,276,220,202,168,255,359,218,191,204,299,311,286,318,246,318,295,296,292,292,315,245,227,271,288,451,368,421,341,335,247,294,310,12740
,Missiles,,,,,,57,51,23,611,923,517,733,388,619,729,708,671,519,1229,1158,474,433,500,766,850,1065,1159,1453,1943,1143,1444,1682,1809,1533,1148,1108,1364,1266,1316,1403,1421,1377,1303,2154,1887,1839,1894,1567,2389,1527,1174,868,825,664,809,738,1039,854,752,839,891,954,1050,1682,1877,1761,66928
,Naval weapons,1,,,,5,10,26,24,39,46,64,48,3,43,207,98,36,30,23,51,23,17,80,31,29,67,79,12,20,61,23,27,18,75,18,32,133,23,37,17,12,53,49,20,20,25,25,20,40,20,20,,40,100,120,80,100,88,128,40,20,40,88,88,115,,2921
,Other,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,67,67,38,38,,,,,,20,20,66,102,169,125,89,145,108,72,14,56,55,12,13,27,15,5,,33,54,61,52,26,1572
,Sensors,,,33,153,270,261,231,231,189,127,143,127,62,43,100,21,47,92,104,93,72,108,74,34,18,102,178,104,240,228,356,418,471,463,522,488,409,452,701,500,525,512,397,356,314,438,380,380,407,350,321,459,405,405,403,464,541,534,395,292,260,395,527,517,391,260,18890
,Ships,433,1606,398,1027,1355,771,700,587,466,1048,777,654,399,403,322,869,391,1040,396,1097,812,1150,1348,1909,1041,882,756,699,535,298,1083,1138,839,762,514,302,503,567,701,792,390,93,1102,1545,2145,896,543,1262,792,479,561,180,306,144,327,360,360,178,,,100,343,156,295,72,201,44199
