,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,13,,,,,,,,,6,,,,,,26,,,54
,Argentina,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,10,12,,,,25,25,,,,,,,,,,,,,,,,,,,1,,,,,,,,,85
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,11,11,,5,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,4,,,,36
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,13
,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3
,Chile,,,,,,,,,,,,,,,,,,,,,,,,,29,3,47,,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,18,35,,,,,,162
,Colombia,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,51,51,,,,,,,,17,12,,,,,,,,,,,,,22,44,44,,,,1,,,,244
,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21,19,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,26,,,,,,35
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,17,,,,62,18,,,,,122
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,20,17,8,,23,,,,,,,,,,,,,,,,,,,,,,,,,,89
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,41,,,,,,,,,3,,33,23,23,,,,,,,,,,,,,,,,,,,201
,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,48
,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,37,37,92
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,33,,,,,,,,,,,,,,,,,,,,,,,,,41
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,97,36,44,46,72,102,59,41,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,607
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,144,144,,,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,25,,,,,,51
,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,18
,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,36
,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3
,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,11,,,,,,,21
,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,54
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,11
,Paraguay,,,,,,,,,,,2,,,,,,,,,,,0,,,,19,,,7,,14,2,,,3,34,4,,10,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,100
,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,17,,8,,,,,,,,,,,,,,,,,,,,,,,57
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,39
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,4,29,25,10,,,,,,,,,,,,,,,,,,,,,,,,97
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
