,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,13
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,,,,,,12
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7,,,,,2,2,,5,,,,,,,,4,,,,,,,,,,,,,,,4,,,27
,Argentina,,,,,,,,,,,,,,,0,1,1,,13,10,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
,Australia,,,,1,,0,,1,,,0,0,,23,23,23,26,,8,4,,4,,,,,,,,,,,,36,,,,3,5,7,11,14,,,8,27,22,,,,,,1,30,38,18,,,,,,,,,,,332
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
,Belgium,,,,,,,,48,276,24,,,,,,,,,,,,,,,,,,,5,15,,,,,,,,,,,,,,,,,,,,,6,,6,,6,,,,,,,,,,,,386
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,5,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,16,53,,,26,,,,,,,,,,,,,3,,,102
,Brazil,,,,,,,,,,,,12,,,,,,,93,66,145,13,,,,,,,2,4,4,4,4,8,14,14,12,12,12,12,12,11,,,,,,,,,1,,10,6,7,7,15,16,11,11,6,6,3,,,,555
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,4
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2
,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4
,Cameroon,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,26,26,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,78
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
,Chile,,,3,,,,,3,,,,3,,,,,10,10,,,,,,,,,,15,,,19,,,,,,,,35,,,,,,,20,,,,,,,,,,,,,,2,7,4,,,,,131
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Colombia,,4,4,,,,21,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,5,,,3,6,12,2,3,,,4,11,,85
,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2
,Cuba,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,8
,Denmark,,3,,,,15,,,,,,,,,,,,,,,,,99,,,,,,1,,,,,,,,,,,,,,,,,,,,,18,,36,,,,,,,,,,,,,,,172
,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2
,Dominican Republic,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,4,,,,,,8
,DR Congo,,,,,,,,,,,,,,,,,3,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,13,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,8,2,1,1,6,,72
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,6,2,7,6,3,,8,,,,,,,,,,,,,,,,,,,,,6,2,6,,16,194
,Ethiopia,,,,,7,,,,,,,,,,,,,,,,,,5,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Finland,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,7
