,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
,Albania,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,1,1,50,,,,,,,,,,,,,,,,,,,,,,,,,135
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Austria,,,,,,,0,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Bulgaria,,,,,,,,,,,,,,8,10,10,10,10,10,10,13,22,8,8,,,,,,,,,,,,6,48,24,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,280
,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Cuba,,,,,,,,,,,,27,1,1,,4,4,,,,,,,,,,1,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142
,East Germany (GDR),0,,,,1,,,2,,,,,,,,30,20,,,,3,,,,3,,,84,108,22,34,28,53,31,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,433
,Egypt,0,0,0,1,,2,2,10,9,2,2,2,1,1,1,21,34,47,47,276,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499
,Ethiopia,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
,Guinea,,,,,,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
,Hungary,,,,,,,,,,,,,,,18,,,,80,,,,,45,102,90,90,90,45,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563
,India,,,,,,0,,,,,,,,,,,,,,20,20,37,37,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147
,Indonesia,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
,Iraq,,,,,,,,,,,,,,,,,20,20,34,29,,,,,,77,112,4,,,,84,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459
,Libya,,,,,,,,,,,,,,,,,,,,,13,33,20,20,11,,6,6,144,148,,98,190,212,65,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981
,Morocco,,,,,,,,,,,,,,,,,,,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
,Nigeria,,,,,,,,,,,,,,,,,,12,,6,,8,,,,,,,,,,,,,,,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
,North Yemen,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
,Poland,,,,,,,,,,,,,,,2,2,56,56,56,2,2,2,2,2,,,,,,,,,37,37,37,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316
,Romania,,,,,,,18,21,21,21,21,21,21,21,21,18,5,6,6,6,6,6,6,6,5,,,,,,,32,16,32,32,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383
,Soviet Union,,,,8,48,948,1540,1500,1500,900,600,150,150,100,200,225,244,244,225,225,225,225,495,470,663,480,526,557,470,617,558,606,497,613,834,932,1113,1189,1268,1065,540,54,,,,,,,,,,,,,,,,,,,,,,,,,22800
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,14
,Sudan,,,,,,,,,,,,,,,,,,,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
,Switzerland,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
,Syria,,,,,,,,,,,,,,,,7,10,10,10,10,10,10,10,29,,,,22,22,22,164,30,32,76,86,28,4,,,,,276,198,,,,,,,,,,,,,,,,,,,,,,,,1065
,Uganda,,,,,,,,,,,,,,,,,9,4,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
,Viet Nam,,,,,,,,,,,,1,,,,,15,,,,6,6,,,,,,,,,42,42,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114
,Yugoslavia,,,,,,,,,,,,,,,,,,,,62,65,65,65,65,65,65,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513
,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,15,,,,,,,,,,,,,,,,,,,,,,,,39
