,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,7,7,,29
,Algeria,,,,,,,,,,,,,16,,1,19,,,,,14,14,,,,,,,,,,,,4,5,,,,,,,,,,,3,,,,,,,,,,12,7,,7,52,52,26,,,,,231
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,23,5,10,10,,,,,,,,,,,0,,,,,,,,,,,,,,,,53
,Argentina,,,,,,,1,,4,14,14,14,16,14,14,,32,,,61,42,17,69,101,5,9,19,26,197,107,107,199,146,105,45,7,28,,,,,,,,,3,18,,,60,,,,,,,,,,,,,,,,11,1505
,Australia,,,,,,,,,,,,,,25,287,282,282,250,148,,,,,45,22,,,,,,,2,25,25,16,1,150,,,,,,,,,,20,,20,15,,35,5,20,28,51,40,42,68,77,40,62,60,75,83,94,2393
,Austria,,,,,,,32,32,5,6,6,8,,2,,3,,36,,,10,17,13,6,6,,,,,,,,,,,,,,,,,,,7,18,15,10,33,38,33,,,,,,,,,,,,,,,,,338
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,2,,,20,,7,8,8,7,,,,,,18,,,,,,,,,,,,,,,17,1,1,1,1,,114
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,2,,,,,2,3,,,,,,,,,,,4,,,,8,,,,,,,,,,,7,12,,8,51
,Belgium,,,,,,,,5,12,7,28,25,18,22,26,26,43,35,19,18,316,327,333,330,,,,,144,135,135,17,17,,,8,8,15,15,15,8,18,10,35,35,11,,8,,,5,4,,,,,15,8,15,8,,,7,16,43,20,2358
,Benin,,,,,,,,,,,,2,1,,2,,1,,,,,1,,,,,,,,,,,3,1,1,1,,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,20,0,,,33
,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,Biafra,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,8,11,,,,,20,10,,,,,,,,,,,,,,,,,,,,,,,2,,,,,15,7,74
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,12,,1,5,,,,,,,,,,,,,23
,Brazil,,,,,,,,,,,45,9,,8,,,,,3,4,,,91,93,2,26,20,,26,10,19,36,27,27,47,41,60,104,59,167,52,79,18,5,16,6,7,19,48,81,59,467,15,22,22,1,58,58,58,20,45,8,8,38,65,113,2308
,Brunei,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,7,,,,,,,,,,,3,3,,,,,,,,5,,4,1,,,1,2,,,,,,22,,11,,64
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,29,15,15,7,10,5,,,,102
,Burkina Faso,,,,,,,,,,,,1,,,1,0,0,,,1,1,,,,,8,8,0,,,,,1,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,31
