,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,59,50,30,,,,158
,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,,,,,,,,,,9
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,8,16,,42,184,,288
,Argentina,5,,,,,,,,,,,,,,,,,,,14,5,19,19,,5,,6,47,13,23,64,13,13,72,63,18,16,37,31,3,10,,,,,2,2,,6,6,9,,,,8,,,,,,,,,,6,,530
,Australia,,,,,,,,,,,9,,,,,,,,42,38,42,46,36,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,115,58,58,115,,,,,3,,,,,,,,80,653
,Austria,,,,,,,,2,0,,,,,11,11,13,11,11,,6,3,,,,,,,,,15,74,,24,37,,,,,,,,,,,,,,,,,,,,,,,,25,,1,5,6,6,5,,,262
,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,11,14,14,,,,,,,,,,,,,,,,,,,,,,,,8,11,,,,16,,,,,3,4,12,,12,104
,Belgium,,,,,,,,,,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,24,30,4,,,,,,,,,,,,,29,38,,,,,,,,132
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Brazil,,,,,,,,,,,,,,,,,,,,,,12,49,52,52,52,35,44,51,33,7,,24,47,56,,12,,5,7,5,2,2,,2,8,,5,,,,19,19,5,33,28,6,6,17,7,7,6,5,6,61,45,830
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,16,16,,,16,,,,,51
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7
