,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,51,13,13,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,142
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,20
,Argentina,,,,,,,,,,,,,,,,,,,277,54,,17,,,12,,,,113,18,5,13,,95,26,13,13,13,,,13,,,,,,,,,,13,,,,13,,,,,,,,,,,,705
,Australia,,,,,,,,,,,,,,14,7,7,,,7,26,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,107,,,,,,,,,,,,,,,,,,155
,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,22,51
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,9,0,3,,,,,,,,,,,,,,,,,,18
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,19
,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,29
,Belgium,,,7,6,,,,,,,,,,,,,,,,,,,,,6,0,,,50,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,124,127,5,1,,7,3,5,,344
,Brazil,,,,,,250,4,4,4,4,5,,,,,,,,,,,2,2,,,,3,1,2,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,284
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,5,,19
,Canada,,,,,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,,,,,,,,,,28,37,18,100,18,23,24,24,,,,,,,,,,22,8,8,20,24,32,82,54,567
,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
,Chile,,,,,,,,,,18,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,160,138,,9,,,123,323,290,6,,68,138,,,,,1293
,Colombia,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,20,20,,107
,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
,Denmark,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,,,,,,,,,,,,25,,,,,43,,85,,166
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,4,,17
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,15,208,4,,,,,,,,,42,67,26,,,,,12,,12,412
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,7,15
,Ethiopia,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Finland,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,7,9,,,,,,,,,,,,,,,,,,1,,,,,,,,,11,,,,,,,,40,79
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,30,,13,,,13,127
,Germany (FRG),,,,,,,,,,19,32,31,34,24,33,17,,,39,30,,,,,,,42,18,,,,,56,69,63,,,,,20,20,30,,,31,31,75,,,,,,,,90,95,347,,10,,,,59,15,,6,1331
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,9,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
,Greece,,,,,,,,,,,,,,,,,,,,,,9,13,,,,,,,,,275,320,,,,,,,,,40,124,191,144,126,24,120,75,,,126,126,252,29,22,42,4,28,20,28,5,,,,14,2153
,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
,Honduras,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,21
,India,,,,,,,,,,,,,,,,,,,,,,,,,17,,18,18,,,18,18,,16,,8,,,18,150,150,125,125,125,125,113,100,118,113,74,35,21,,,37,25,,,,10,20,1,1,,10,10,1614
,Indonesia,211,58,14,,,,,,,,,,,,,,,,,,,,,,,,54,8,8,100,235,61,2,,,,127,71,159,120,6,6,,,,,,,,,15,,7,,7,,,297,149,149,,,,,3,,1866
,Iran,,,,,,,,,,,,,,,,,,,,,,40,,20,20,20,27,39,42,,,31,,,20,40,,,15,15,15,15,,8,8,15,,,,,,,,,,,,,,,,,,,,,390
,Ireland,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,25,25,25,,,,7,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,113
,Israel,,,,,5,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,Italy,4,,,1,4,4,4,4,2,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,15,,,,,,,97
,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,29
,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,47,85,3,125,79,407
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,44,44,,,22,,,,,118
,Malaysia,,,,,,,,,,,,,,,,,,,,,,15,,,,,24,12,,,,,,,30,7,,7,,,,,,,,,,,,18,,,,,,,,,,,,,,3,3,,117
,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
,Mexico,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,20,62
,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,312,,,,508
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,,,,,,,,,,44,,,5,74,,,,,,,,,142
