,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Afghanistan,,,,,,4,3,92,253,405,40,56,64,40,56,91,198,230,145,92,9,149,124,,,90,230,33,232,362,355,385,298,239,380,165,299,575,1065,2176,1900,1438,,,,,,,,,,,,,,,,,,,,,,,,,12271
,Albania,14,10,11,12,14,130,112,42,47,129,62,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626
,Algeria,,,,,,,,,,,,7,35,75,149,304,452,524,57,79,0,,180,110,13,56,70,1027,1470,1845,1358,1167,1136,359,272,208,135,329,271,454,660,896,,,,,,,,,,,,,,,,,,,,,,,,,13697
,ANC (South Africa)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,173,174,105,146,104,130,238,357,527,419,467,666,1173,936,127,127,,,,,,,,,,,,,,,,,,,,,,,,,,5868
,Austria,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,73,42,,,,,,,26,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,152
,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,7,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Bulgaria,49,61,91,363,615,305,319,456,631,165,474,523,494,529,303,362,208,319,240,522,752,373,457,282,305,394,375,492,885,322,574,961,575,728,910,593,870,411,223,334,676,340,,,,,,,,,,,,,,,,,,,,,,,,,18862
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Cambodia,,,,,,,,,,,,,,,21,3,,9,,,,,,,,,,,5,,34,,,13,67,63,28,50,8,119,45,,,,,,,,,,,,,,,,,,,,,,,,,,464
,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,18,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,China,2701,2307,3797,3512,3475,1540,2255,2126,2778,3159,2431,936,307,450,395,218,231,130,180,,,,,,,,,,,,,,,,,,,,,,81,260,,,,,,,,,,,,,,,,,,,,,,,,,33270
,Congo,,,,,,,,,,,,,,,,,,,1,23,8,8,1,,,1,,,2,13,9,,,,25,,,,24,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,201
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
,Cuba,,,,,,,,,,,127,499,1275,289,246,126,228,162,155,155,155,162,454,430,418,200,315,615,509,410,347,976,876,775,417,352,281,73,167,94,169,159,,,,,,,,,,,,,,,,,,,,,,,,,11615
,Cyprus,,,,,,,,,,,,,,,14,20,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
,Czechoslovakia,96,409,783,955,1252,1267,469,151,562,840,534,667,547,585,579,698,678,742,859,851,748,1120,969,1071,1102,837,215,301,558,495,468,837,904,811,913,1152,799,653,754,1023,128,57,,,,,,,,,,,,,,,,,,,,,,,,,29438
,East Germany (GDR),29,,170,87,10,,664,1120,1072,486,314,239,905,939,1164,994,1502,908,992,1172,1302,1032,888,493,425,575,1256,994,971,894,885,754,1016,892,1106,1363,654,362,590,696,399,,,,,,,,,,,,,,,,,,,,,,,,,,30314
,Egypt,,,,,,527,987,469,475,329,139,327,843,756,833,920,1487,2284,1303,1040,1746,2048,3334,2475,871,105,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23327
,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
