,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,48,,,,,,,,,,72
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,15,,,,17,16,,,,,,,,,,,,,,,,,,,,,,78
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,90,,,,,,8,,,,,,,,,,,,,,,,,,5,7,3,3,,,,,,139
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,98,,479,479,1447
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,10
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,2,,3,,,,,,,12
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,8,,,,,,,,,,,,,,,,8,8,,,,,,40
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,24,24,,,,,,,144
,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,17
,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Chile,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,38,,,,16,16,,,8,12,12,20,28,12,4,8,16,8,8,32,,,,4,,,,,299,,5,,22,55,,,,,651
,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,12,,56,,,,,34,,5,,13,38,12,17,,,24,,,219
,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,48
,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,13
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,16,,,,,,,,,,,,,,,,33,,,,,,,,,36,,90
,Egypt,,,,,,,,,,,2,8,10,10,12,12,12,12,12,10,,,,,,,,,,,,,,,225,25,13,,,,,,,,,,,,,,,,,,,,,,,,,36,,64,56,96,615
,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,12,,,,,36
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,,41,25,,,,,,25,16,16,,16,25,,,,,,,,8,8,49,,,249
,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,12
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,24
,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,34
,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
