,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,253,,253,245,,498,8,256,11,11,11,3,,,,,15,8,8,8,1591
,Austria,,,,,,,,,,,1,9,10,10,11,2,,,,,70,118,90,,,,,,,,,,,,,,,,97,71,5,6,5,2,,,,,15,15,15,15,,,,,,,,,,,,,,,567
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,4,,13,,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,56
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5
,Biafra,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7,4,5,6,6,6,6,6,7,6,0,0,0,,,,,3,4,1,,,,,90,60,,,,,,,,,,,5,4,234
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,3,,10
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,35,18,18,,,,,,,,,,,,,,,,,,20,15,130
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
,Chile,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,155
,Colombia,,,,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,3,,,,8
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,7,10,,,,,,,,,387
,Denmark,,,,,,,,,,,,,,,,,,,,,183,312,,,,54,13,28,15,,2,2,2,,,3,3,3,,4,8,16,12,12,8,4,8,,,4,16,56,,,3,3,,12,74,64,4,,3,,5,,931
,Dominican Republic,,,34,,,6,6,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,0,0,1,2,,,8,15,8,,,,,,34
,Ethiopia,,19,,,1,1,,1,,,2,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
,Finland,,,,,,,,,3,,1,,,3,,,1,,10,,,,26,1,57,57,39,,,5,,18,,,29,76,50,30,109,,15,15,29,5,5,5,5,,8,4,3,3,3,26,67,49,89,60,9,13,15,13,,30,7,5,995
,France,,,,,,17,28,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,15,15,,,,,,,1,10,1,,,127
,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Germany (FRG),,,,,,,,,,10,30,25,25,10,10,30,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,13,2,0,12,14,7,2,,7,7,7,13,13,266
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,120,,,14,2,,,120,,,,,,,,280
,Guatemala,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,158,,,,,,,,,368
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,15,70,140,130,45,10,,,,,,,,,,,,,,,,,,,,,,,,,417
,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,,28,,,,,,3,3,,,3,3,,,,,,,5,,3,,3,,,,,,,,,,,,72
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Ireland,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,Israel,,,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,6,6,8,8,6,4,4,8,4,,,54
,Japan,,,,,,,,,,,,,,,10,,10,10,10,15,10,,5,,5,,,5,10,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,10,10,10,10,10,,10,160
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,1,0,0,,,9,2,,,0,,,,,1,14
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,1,0,,,,,,,,,,,,,,2
,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,2,7,,,9,5,,208,,,,,12,3,3,5,,7,,,,,,,,,,15,8,,,,,,,,,,,,,,,,282
,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,3,,3,30,,,,,,,,,,,,50
,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Netherlands,,,,124,20,60,60,80,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,41,54,54,63,63,61,,,,712
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,,,,,,,,,,,,,,,,,15
,Nicaragua,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
,Norway,,,,,,,2,3,,,,,,,,,15,15,,,,,,,,,,,,0,,23,49,42,116,75,123,58,138,148,79,72,84,52,57,5,6,,38,68,78,20,6,,,,,,,,5,3,5,3,0,17,1402
