,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,9,33
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,12,,,,,6,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,27
,Argentina,,,,,,,,,,,,,,,,,,,,30,,,,,1,2,2,2,2,111,113,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373
,Australia,,,,,,,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,,7,11,17,25,34,,,,,,,,,,,,,,,,,,,,,,,,,102
,Austria,,,,,,,,,,,,,1,1,47,58,58,1,1,1,,,,,,,10,,,35,73,73,73,2,8,6,,1,,,,,,,,,,,,,,,,,32,16,,,,,,,,,,,495
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,11,9,9,9,9,8,70
,Bolivia,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,5,8,,,,,,,,,5,,,25
,Brazil,,,,,,,,,,,,,,2,,,,,,,,14,14,,,,,21,25,21,,,,,,5,5,5,5,5,5,10,10,5,5,5,,,,,,,,,,,,1,1,1,1,1,1,1,1,,171
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,,,,,,,,,10
,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,30,,,,,,34,25,112,202,183,41,,,20,20,18,46,52,17,17,12,12,12,12,3,,,,,,,2,3,970
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3
,Chile,,,,,,,,,,,,,,,,,,2,,2,,5,,,,,,,,,10,1,5,5,6,6,6,6,6,6,5,4,11,,1,1,1,1,1,1,1,,,,,,17,,,,,,,,,,112
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,33,1138
,Colombia,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,,,,,,,,,,,,,,,,,,,28
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,45
,Denmark,,,,,,,,,,,,,,,105,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,6,,,,,6,12,25,15,3,,,4,,8,,295
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,,,,10,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,12,58,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,11,,,,,,111
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,9
,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Germany (FRG),,,,,,,,,,50,362,360,388,199,199,199,175,88,,,,,,,,,,15,,,71,95,95,71,,,,,,,7,7,,,,,,,,,,,,,,,,,1,14,14,24,43,,14,11,2502
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,13
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,India,,,,,,,,,,,,,,,,,,,,,,,,35,53,88,140,140,140,140,140,140,140,140,140,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25,20,1650
,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,90,126
,Iran,,,,,,,,,,,,,,,,,,,,,,5,5,,,125,125,,,,,,,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,5,7,35,,,,13,11,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,88
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,11,,,4,6,,,,,,,,33
,Israel,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Italy,,,,,,,,,,,70,140,140,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441
,Japan,,,,,,,,,,,10,,,,,,11,11,18,18,11,7,7,7,7,18,22,22,18,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,190
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,,,,10,,,,,50,,,,,,,,,,,,,,,160
,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,20,,,,12,20,,,,,,0,0,0,0,0,,9,,,,,,10,,,,,,,,,97
,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,18,18,9,8,,,11,5,6,6,5,4,5,,,,,,,,,,,,,,3,,,,,,,,,,103
,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,19
,Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,12,4,,,,,,6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,31
,Netherlands,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,3,,,,,,,,,,,,,,,,,,,48
,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
,Norway,,,,,,,,,,,,,,,,56,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168
,Oman,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,0,,,,,,8,25,,,,14,3,,,,,,,,,,,,,,,51
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55,30,,30,30,20,75,75,75,75,75,55,50,,,,,,,,,,,39,73,44,,,,,,,856
,Peru,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,,,,,,,,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,59,88
,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,117,,,,,,,,0,5,,,,2,,,2,243
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,30,36,30,,,,,,,,,17,17,33,35,40,42,53,57,40,38,45,6,,,,,,,,,,,,10,40,40,,,83,83,774
,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,44,41,54,,,,,,,,,,30,30,,,,,,,,,,,,,,,,93,,,,,,15,18,353
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,3,11,,,,,,,,,,,,,,,,,21
,Somalia,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,South Africa,,,,,,,,,,,,,,,19,72,46,75,58,46,,,,,,,,,,,,,,,,,,,,,3,6,,6,12,24,24,2,,,,,,,,,,,,,,,,,,,391
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,115,115,,,20,15,,,,,,,,,,,,,,,,,,,,,,,3,3,,48,48,48,,1,1,1,1,2,,420
,Sudan,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Sweden,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,2,,,,,,,,,,,,,,39
,Taiwan (ROC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,278
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,57,62,5,,14,14,,,,,,14,8,,,,,,,,,,,,,,,,,182
,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,5,23,23,23,23,,,,,,,,,,,,,,,,105
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,98,2,8,,,2,,,,,,,,,,,,,,,,,,,,,,78,44,,,,246
,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,United States,,,,,,,,,,,,,1,0,2,2,4,2,,,2,5,3,,,,,,2,2,,,,,,,,,,40,40,,,,,,,,,1,18,56,70,97,111,132,133,104,81,77,91,77,70,56,42,34,1357
,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,6
,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,4,4,16,4,,,,47
