,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,22,78,280,245,520,410,144,69,49,1837
,African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
,Algeria,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0,22,0,,114,84,200,170,15,,,,,29,,,,,6,3,,,,26,71,59,,,,,,,,11,11,,,,5,827
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,7,,,,,,,,,,,,,,,,,,,1,,,13
,Anti-Castro rebels (Cuba)*,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Argentina,70,445,38,4,5,0,39,14,66,32,89,178,32,4,4,4,62,129,91,32,163,244,311,133,68,135,160,98,147,94,75,36,4,28,10,10,,8,4,4,14,,27,14,48,28,9,82,140,197,59,6,13,12,18,3,9,15,16,13,9,32,36,38,6,12,3926
,Armas (Guatemala)*,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Australia,,21,100,,,10,60,75,190,213,52,38,198,24,45,588,383,428,118,347,189,229,17,620,797,43,28,122,779,141,341,315,63,489,556,508,664,565,698,629,299,94,328,449,254,38,45,35,18,286,194,87,106,165,114,101,348,574,320,610,1389,1004,589,148,326,903,19505
,Austria,,,,2,,,39,61,46,8,,,,,,11,,,,,20,,,52,52,78,38,36,8,23,23,,,105,,18,18,7,20,13,,,,,,,,34,36,,,,65,,,,,,,,,,,,,,811
,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,1,,4
,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,,,42
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,10,10,10,43,45,158,46,14,362,68,42,1,,53,45,198,4,,299,5,54,1,,63,3,26,2,,68,,,66,9,,1702
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,17,9,,,,,,11,,,18,25,,,9,,1,,,61,,,,,,,,,,,,,56,,54,283
,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Belgium,35,301,747,465,209,299,341,286,288,143,64,107,170,547,619,473,43,,,8,,,179,188,20,,40,37,13,476,286,503,422,583,575,287,91,91,407,203,312,114,13,11,11,5,3,18,26,48,18,18,45,21,9,3,3,4,6,12,3,2,6,2,2,7,10269
,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0
,Benin,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Biafra,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Bolivia,,6,,,2,,,,26,3,,4,2,4,2,1,1,15,13,1,2,1,13,10,2,18,16,1,4,1,1,4,1,,,7,7,,56,61,,11,9,13,9,,,,,9,18,,,,,,,,,,,1,1,1,6,,360
,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,25,,16,,,,,,,,,,,,,,,,,87
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,10,17,4,10,,,1,,,,18,,,,15,,,,,,,,2,2,,,,,,80
,Brazil,,247,,28,8,49,13,109,135,125,63,191,40,86,25,147,54,218,140,34,73,108,319,373,142,429,179,9,101,10,11,12,2,2,2,23,34,100,44,332,39,12,7,,37,,45,131,,11,22,111,70,8,20,18,18,19,33,0,24,84,111,69,17,35,4958
,Brunei,,,,,,,,,,,,,,,,1,,,1,,5,10,,,14,,,,,,,1,12,26,,,13,,,,,,,,,,7,16,7,,,,,0,0,,,,,,,,,15,36,36,200
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,5,,,3,,,,3,18
,Burkina Faso,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,Cambodia,,,,,,4,11,4,4,,,0,3,8,4,,9,2,,,6,21,99,122,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321
,Cameroon,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,56,,,,,29,1,17,,,,,3,3,,,,,,,,,,,,,,,,,,,,10,,,2,,,122
,Canada,557,941,1008,1340,890,937,611,245,187,206,160,1737,1028,912,675,451,273,104,249,485,611,455,309,56,196,223,13,13,13,35,383,395,220,646,646,847,809,764,655,12,19,425,118,109,297,313,306,261,66,104,160,85,30,57,71,96,68,410,360,97,197,319,188,162,194,308,25110
,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,9
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,,14,3,9,57,,,,,,,,,,,,,,,,,1,,,,,,,,6,,109
,Chile,1,247,16,10,28,5,40,24,32,2,32,43,19,121,21,37,56,,15,8,62,45,43,66,118,183,198,0,13,5,11,2,23,3,12,4,6,7,9,13,8,12,69,26,18,32,10,6,17,13,19,14,,8,16,,254,81,,30,132,39,38,27,55,81,2581
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,98,,,16,,,,,0,35,2,2,,,,,,,,,,,,,,,,,,,,211
,Colombia,3,4,12,12,31,13,14,15,24,10,5,62,3,20,6,18,32,15,32,119,3,26,18,55,,,10,8,12,36,4,28,18,49,102,7,6,3,35,109,7,54,15,53,42,35,37,105,84,44,60,274,124,96,,4,31,126,16,147,58,80,77,99,56,60,2760
,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
,Contras (Nicaragua)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
,Costa Rica,,,,,,3,,,,,,,,1,,,0,,,,,,,2,,3,,,6,,1,,,,,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,22
,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,5
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,55,,,,,,,,,,,,,22,,84
,Cuba,,9,0,0,3,13,35,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,5,,,,,,,,,,,,,,,,,,,13
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,44,28,18,,40,0,,14,1,2,3,2,0,,0,155
,Denmark,17,36,326,395,33,52,63,57,53,250,109,335,45,101,317,282,11,14,45,3,28,14,13,,39,89,41,42,142,57,399,433,441,218,59,77,,83,88,84,3,15,22,10,51,26,37,64,65,35,27,40,18,8,140,26,8,85,6,0,,,36,32,32,,5677
,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,3
,Dominican Republic,2,11,10,21,2,,,1,2,4,16,11,,7,4,10,9,1,,,1,2,7,0,,2,12,,,,9,5,30,,25,0,,,2,,,,,,,,4,,6,,,5,0,8,35,,,,,,,,,,,1,267
,DR Congo,,,,,,,,,,,,9,5,27,81,22,0,,,,,72,,,,89,2,31,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,384
,Ecuador,,,,11,,,6,,13,,66,,,3,3,32,,14,5,1,5,2,,5,2,5,60,91,22,11,133,6,5,15,39,8,,18,17,4,3,21,,18,4,26,,43,6,,,,0,,,4,,,,1,10,,,,,,738
,Egypt,23,1,,,0,,,,,,,,,,,,,,,,,,,,,,56,112,,330,414,890,1369,985,382,456,1043,1144,306,205,430,841,929,1007,1793,1643,769,895,457,455,823,809,477,345,500,588,429,372,263,82,249,160,177,494,190,585,23478
,El Salvador,1,,,,1,,,17,,,,,,0,,1,1,0,20,8,9,1,,,10,14,10,8,1,1,6,5,32,11,60,44,5,,,,,21,4,,,4,4,,2,,,,19,10,,,,,,,,,2,,,,329
,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,5,,10,,18
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,11,,,,,,,,,,,1,,17
,Ethiopia,,,,6,,,1,5,23,6,17,6,16,2,4,12,84,25,33,1,66,45,5,5,16,51,104,22,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,10,,601
,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,Finland,,,,,,,,3,,,,,,,,,,,,,,,,,3,6,,,,,,,16,1,2,,,,1,,,,36,36,,150,343,390,534,760,466,,5,,,,,,9,9,9,2,,75,44,84,2984
,France,218,446,556,1060,1051,1041,1134,631,1040,789,384,215,111,63,1163,241,37,39,47,71,94,103,78,85,20,13,230,239,230,,,,,4,,,,84,88,116,26,846,285,18,5,5,3,82,139,93,70,66,20,17,78,2,2,,1,,51,23,39,55,17,9,13670
,Gabon,,,,,,,,,,,,,,,,,,,,3,,,,,,35,29,28,2,,,32,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,136
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2,4,,,,,1,,13
,Germany (FRG),,,,,,85,1262,1825,2164,726,872,824,1284,2575,2822,2776,2546,889,818,1039,1357,2181,523,1240,1600,1502,1301,969,622,28,104,190,258,251,272,87,272,321,383,637,673,648,650,524,363,169,124,61,543,75,73,99,42,21,89,56,16,16,268,319,255,47,25,42,46,3,41851
,Ghana,,,,,,,,,,,,,,1,,,,1,,,,,7,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,8,,,,,,2,,,,2,2,,,,28
,Greece,33,419,314,90,171,233,218,187,425,264,254,82,330,98,527,486,202,241,69,233,100,303,166,191,418,681,971,440,504,314,245,202,36,99,86,56,87,31,110,762,766,342,1395,361,195,531,99,651,980,280,258,239,173,1521,823,102,20,253,10,924,151,19,6,9,61,92,20941
,Guatemala,,6,,,2,8,6,,,,16,,1,7,8,5,,1,16,1,,45,1,1,10,28,7,,,,1,38,16,0,7,0,2,0,0,0,0,0,,13,4,4,,,,,,,,,,,,,,,,,,,,,256
,Guinea,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Guyana,,,,,,,,,,,,,,,,,,,0,,,,,,,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
,Haiti,4,,3,,,0,6,,,,5,,,,2,,,,,2,,,,2,4,1,1,0,9,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
,Haiti rebels*,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
