,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Afghanistan,,,,,,4,3,92,253,405,40,56,64,40,56,91,198,230,145,92,9,149,124,,,90,230,75,281,362,355,385,298,239,380,165,299,575,1065,2176,1900,1438,,,,,,,,,,,34,,,35,3,41,150,344,377,660,521,235,288,74,15125
,African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,9,,10,,,,,2,,2,76
,Albania,14,10,11,12,14,130,151,42,47,129,62,74,46,11,7,177,74,161,265,297,250,330,134,104,134,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,2829
,Algeria,,,,,,,,,,,,7,60,85,152,323,452,524,57,79,14,14,180,110,13,56,132,1077,1512,1898,1358,1281,1231,575,533,242,135,370,320,455,735,1035,20,20,182,295,83,37,98,370,412,546,249,195,242,159,340,509,1529,1075,829,1115,889,373,487,636,25708
,Amal (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
,ANC (South Africa)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,1,240,184,105,146,111,155,241,379,538,430,493,705,1186,962,152,140,,,122,111,1,44,7,149,358,147,156,148,48,8,39,7,31,29,20,,,,31,2,61,7684
,Anti-Castro rebels (Cuba)*,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Argentina,75,445,38,4,5,0,39,14,70,166,103,205,48,19,19,7,95,129,425,223,253,369,399,236,450,147,498,176,557,451,445,856,421,1322,687,450,229,224,71,14,166,,27,14,209,43,28,105,172,267,213,6,16,12,168,3,9,24,23,16,14,46,36,44,14,23,12080
,Armas (Guatemala)*,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
