,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,5,,2,,,,,,,,,,,,,,18
,Canada,,,,,,,,48,276,24,,,,,,,,,,,,,,,,,,,5,15,,,,,,,,,,,,,,,,,,,,,6,,6,,6,,,,,,,,,,,,386
,France,,,,,,,,5,12,7,28,25,18,22,26,26,43,35,19,18,316,327,333,330,,,,,144,135,135,17,17,,,8,8,15,15,15,8,18,10,35,35,11,,8,,,5,4,,,,,15,8,15,8,,,7,16,43,20,2358
,Germany (FRG),,,,,,,,,,,0,1,0,,,6,,,197,205,207,181,,,,44,44,90,135,135,135,,,,,,,,,,,,,,,,,,,,,,,,,0,9,10,10,10,10,6,,13,25,13,1486
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,2,4,,,,,,,,7,4,4,4,1,,28
,Italy,,,,,,,,,,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,24,30,4,,,,,,,,,,,,,29,38,,,,,,,,132
,Netherlands,,,7,6,,,,,,,,,,,,,,,,,,,,,6,0,,,50,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,124,127,5,1,,7,3,5,,344
,Norway,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,18,,64
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,,,,,,,,,,,,,,,,,,46
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,11,9,9,9,9,8,70
,United Kingdom,163,184,166,232,202,62,341,342,312,1,,,,,,,,,,,,,,81,85,84,93,54,58,16,9,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2491
,United States,35,301,747,465,209,299,341,286,288,143,64,107,170,547,619,473,43,,,8,,,179,188,20,,40,37,13,476,286,503,422,583,575,287,91,91,407,203,312,114,13,11,11,5,3,18,26,48,18,18,45,21,9,3,3,4,6,12,3,2,6,2,2,7,10269
