,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,28
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,11,11,,5,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,4,,,,36
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,5,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,2,,,,,,,,5,,,,,,,,21,,,20,,62
,France,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,8,11,,,,,20,10,,,,,,,,,,,,,,,,,,,,,,,2,,,,,15,7,74
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,13
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,2,,3,,,,,,,12
,Switzerland,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
,Taiwan (ROC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4
,United States,,6,,,2,,,,26,3,,4,2,4,2,1,1,15,13,1,2,1,13,10,2,18,16,1,4,1,1,4,1,,,7,7,,56,61,,11,9,13,9,,,,,9,18,,,,,,,,,,,1,1,1,6,,360
,Unknown country,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,2
,Uruguay,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,7
,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,,3,,,,,,,,23
