,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,18
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Canada,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,7,1,1,,,,27
,Denmark,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Finland,,,,,,,,,,,,,,,,1,2,3,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
,France,3,67,43,72,43,99,442,106,115,174,40,41,93,258,254,232,124,18,18,,9,9,9,15,15,15,18,18,18,44,44,,,7,10,10,7,,,,,3,,,3,3,14,21,17,,,,6,,,,,,,,,,,,,,2556
,Germany (FRG),,,,,,,,,,,45,,63,70,12,11,,,273,105,263,14,,10,10,5,5,,5,5,10,5,5,,,,,,,,,5,,,1,1,8,4,1,500,266,16,21,85,13,19,13,23,13,13,19,25,13,88,313,313,2678
,Italy,,,24,,,,,,,,,,,,,,,,,,,,,15,15,22,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,111,295
,Netherlands,,,,,5,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,South Africa,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Sweden,,,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Switzerland,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Uganda,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,United Kingdom,25,11,1,18,,17,179,,9,19,62,11,59,64,55,45,60,121,56,35,70,35,35,35,72,210,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467
,United States,2,1,4,6,0,1,3,10,2,13,,15,46,4,96,149,134,119,556,1158,770,1263,848,1869,1075,1403,1930,1099,1325,639,1208,1645,864,484,278,300,1178,1080,582,24,81,1212,1313,715,752,359,77,42,1273,691,102,115,323,104,839,1114,1110,839,663,134,41,59,107,65,121,194,34623
,Unknown country,23,12,,,,,17,17,17,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
