,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,,,,,,,28,24,84,285,253,146,,76,14,14,166,94,,30,51,687,1085,1176,402,381,164,280,160,21,,41,41,455,302,485,,,155,171,64,28,49,231,284,477,214,181,237,128,48,,770,770,66,741,335,36,44,156,12128
,Air defence systems,,,,,,,,,,,,,,,,,71,,,,,,,,,11,11,,18,388,505,485,473,35,35,35,35,,1,,,,,,,1,,,,,,,1,,,,2,,55,,,110,132,143,143,,2689
,Armoured vehicles,,,,,,,,,,,,4,18,44,53,25,73,149,,,,,,,,,,270,305,197,157,229,289,162,140,,,,,,341,382,11,10,26,105,5,,40,40,14,,,,,18,120,408,212,0,,,344,144,30,77,4441
,Artillery,,,,,,,,,,,,3,7,9,7,1,12,5,3,3,0,,,,,,5,15,11,5,,,20,46,47,18,,,,,36,61,,,,,,,,22,,,,,,,,,,,18,,,,68,,421
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,4,2,,,,,,,,6,9,,,7,1,1,1,3,4,,,,,,8,5,,4,15,,,,,38,,,4,13,139
,Missiles,,,,,,,,,,,,,,,,3,16,33,,,,,14,17,13,15,13,34,43,84,100,79,60,22,22,25,50,73,44,,11,11,,,,10,10,,,78,65,28,17,,5,0,37,53,438,205,125,184,63,44,41,69,2252
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,3,3,3,,,,,,,,,,,,,,13
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,48,,,,,72,312
,Sensors,,,,,,,,,,,,,,,,,19,7,6,,,,,,,,,,13,13,,20,,,48,,51,30,5,,,,,,,5,,,,,47,29,7,,,,,,,,,16,16,6,11,13,358
,Ships,,,,,,,,,,,,,7,8,8,8,8,184,48,,,,,,,,42,67,34,34,195,87,224,29,82,144,,220,220,,45,89,9,9,,,,9,9,,,9,,9,,9,70,,7,52,572,26,,,146,237,2955
