,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,5,1,,4,5,,39,14,70,46,72,53,48,16,19,5,93,121,111,107,178,150,213,144,6,129,151,125,258,221,252,136,217,91,22,,22,47,25,8,3,,27,,36,30,18,74,141,197,47,6,,,,3,9,16,14,11,9,46,33,42,14,12,4010
,Air defence systems,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,19,23,19,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
,Armoured vehicles,6,,,,,0,,,,,,,,,,,,6,6,45,44,33,28,24,1,2,17,12,35,43,25,104,88,82,83,73,43,3,3,,,,,,161,9,,19,25,,8,,,,,,,3,,,1,,,,,,1033
,Artillery,2,,,,,,,,,,,8,,3,,,,,,19,,19,19,11,3,3,3,3,3,3,2,,,,,,,,,,,,,,,,2,,6,6,5,,,,,,,,,,,,,,,,114
,Engines,15,,,,,,,,,,,,,,,,,,4,14,,4,,,,,6,12,14,18,19,18,17,69,27,14,13,16,13,4,11,,,,,1,,1,,2,8,,1,,7,,,,2,2,,,2,2,,,335
,Missiles,,,,,,,,,,,,,,,,2,2,2,2,1,8,8,1,3,64,1,22,24,30,29,29,58,57,90,93,45,6,5,5,3,3,,,,,,,,,,,,12,12,,,,,,,,,,,,,615
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,46,15,8,8,8,,,8,,,,,,,,,,8,,,,8,,,,,,,,,,,,111
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,23,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
,Sensors,,,,,,,,,,,,,,,,,,,,21,,15,,,12,,,,54,96,96,123,,95,26,13,15,15,26,,20,,,,,3,9,11,,3,15,,3,,31,,,5,7,3,3,,,,,11,728
,Ships,47,443,38,,,,,,,120,31,145,,,,,,,302,8,23,141,138,54,360,12,300,,140,,,370,23,828,421,298,123,131,,,123,,,14,12,,,,,60,123,,,,123,,,,,,,,,,,,4950
