,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,351,254,288,116,80,192,313,240,357,245,47,4,221,245,330,310,655,358,317,384,186,258,43,682,862,64,6,69,716,100,,1,2,198,181,430,615,554,671,608,304,142,,120,180,12,6,12,,277,248,306,,11,31,52,177,320,196,600,1301,1288,546,78,224,862,18840
,Air defence systems,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,35,35,35,35,,,,,,,,,14,14,14,14,7,,,,,,,,92,,,,,,,,,,,,,,325
,Armoured vehicles,,,,34,34,34,108,16,,2,15,,,6,13,19,23,23,23,23,23,19,6,,,,53,66,125,,,,,,,,,,,0,,5,,,8,27,22,,,,,,1,30,38,33,112,199,51,38,58,29,40,25,13,,1390
,Artillery,,,,,,,,,,,32,23,,,,,,,,,,,,,,,,,,,,,,15,15,,,4,3,14,15,15,15,,,,5,,5,,,5,5,5,5,5,5,,,,,,35,,17,2,248
,Engines,,,,,,,30,38,38,25,8,1,,,,,,,8,7,8,9,7,,,,,,,,,,,,,,,3,5,7,11,14,,,1,2,8,,7,,,7,7,10,9,12,19,12,11,6,16,58,18,6,17,29,474
,Missiles,,,,,,,,,,,12,12,5,8,13,14,14,14,6,9,24,4,4,,10,23,23,59,59,36,46,20,66,71,81,67,45,20,39,39,6,,14,15,6,23,27,15,1,8,9,60,78,90,51,41,76,97,137,106,96,98,187,131,159,168,2536
,Naval weapons,,,,3,11,11,1,11,,,,,,,,,,,,,,,,,,10,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,40,,,,,,,,145
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,,13,24,12,,3,,,,40,10,,,,142
,Sensors,,,,,,,,,,,,,,14,7,7,,9,16,35,,19,,19,12,,,,,10,10,7,27,,,18,9,12,2,2,2,2,2,,,,33,8,33,27,24,60,112,147,62,54,36,24,10,25,37,14,15,15,23,35,1033
,Ships,111,111,120,,,400,,140,140,140,,,316,110,166,550,2,355,75,370,,,,,,,,75,75,,312,387,37,349,349,,150,,,22,,,300,300,60,,496,,496,360,58,799,366,496,251,251,281,,,,,40,26,,479,479,10401
