,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,165,410,605,580,307,292,525,547,747,9,28,30,14,400,470,432,15,14,,4,321,328,501,498,,0,76,2,27,610,383,413,289,454,434,83,,,330,186,289,103,24,30,4,,,23,23,,,2,4,,,,,,,56,,,7,20,57,13,11183
,Air defence systems,,,,,,,,,35,105,,35,105,75,75,,,,,,,,,20,20,,,90,135,135,173,75,75,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190
,Armoured vehicles,24,67,313,26,,,55,55,39,,20,28,29,18,21,21,21,21,216,220,207,181,,81,85,128,68,35,27,25,18,2,58,91,91,91,91,91,76,6,,,,,,,,,1,11,5,,2,,,0,9,39,54,19,21,15,9,9,9,8,2854
,Artillery,,8,2,,4,,20,1,4,,,,2,17,18,43,46,,,,,,11,,,,,1,2,,,,,,44,96,,,,,,,,,,,,8,,,5,4,,,,,,,,,,,,,,,337
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,2,2,2,2,46
,Missiles,,,,,,,,5,5,37,25,39,39,60,60,8,4,,,,,,,,6,,33,45,98,,,17,17,,7,7,,,,11,23,21,23,46,46,16,,,8,30,,,3,3,,3,3,,3,5,1,,8,,,,762
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,4,4,1,,19
,Sensors,,,,,,,,6,35,,,,,,,,,,,8,,,,,,,,8,55,15,,15,,,,19,8,15,15,15,9,9,1,,,,3,21,18,18,24,23,48,18,15,,15,12,19,8,,,2,11,15,7,506
,Ships,9,,,98,100,69,82,67,24,24,19,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,124,124,,,,,,18,18,796
