,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,133,113,39,8,65,140,49,87,122,39,80,8,131,48,161,178,107,213,25,157,184,121,470,170,60,188,32,25,41,34,37,78,3,39,169,88,190,53,16,16,3,12,2,62,175,140,81,59,129,59,22,22,3,137,124,112,56,84,71,153,109,97,87,5714
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,58,29,191
,Armoured vehicles,,,,,,0,,,,,9,10,9,9,9,10,9,9,10,,,57,77,68,,,29,,,,22,,,,,,,,,,,5,,,,,,114,23,27,,14,,,,,,1,1,67,138,172,25,3,43,20,987
,Artillery,,7,,,,9,9,,,,,,,8,9,9,,,,,,13,19,14,8,7,6,,,,,,,,,,,,,,,,4,2,,19,11,6,,4,19,5,9,,,,,1,,,,,,,,,199
,Engines,,,,,,,,,,,,,,,,,,,,3,,2,8,10,9,9,21,23,42,24,21,10,14,16,20,21,14,13,13,32,23,32,17,12,19,10,10,10,10,8,,,13,9,7,7,15,16,22,12,6,6,17,10,6,1,627
,Missiles,,,,,,,,,,,,,,,,,,8,8,,,,2,3,2,6,16,21,43,25,21,2,0,,,,6,6,,62,25,88,25,25,38,36,38,37,39,33,11,16,5,5,5,1,20,20,20,3,63,48,14,7,13,31,895
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7,4,4,,,,,,,,,5,,5,5,,5,,,,,,,,,,,,,,,,,,,,,,41
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,,,,,,9,,,,,,,,,,,,,6,,55
,Sensors,,,,,,,,,,,10,,,,,,,,,,,2,2,,,25,27,27,43,34,6,5,27,39,27,46,58,46,25,30,10,22,22,5,17,8,3,,,11,22,55,127,65,48,43,6,6,24,12,7,14,25,20,42,63,1152
,Ships,,416,,,,326,38,86,,80,130,80,9,34,,,,40,40,,6,68,235,324,116,,299,419,552,269,269,8,,,,,,,,424,38,,,11,221,173,421,131,28,202,11,400,,,,170,,20,,40,20,,77,38,20,60,6347
