,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,557,952,987,1306,738,767,453,141,146,160,152,1344,975,835,615,406,265,160,216,442,586,374,238,1,116,159,,,,,378,389,180,600,600,776,742,720,600,,3,341,,2,30,172,150,208,20,,94,145,123,84,,,3,281,311,36,208,300,150,140,160,284,21321
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,54,179,161,48,49,14,,,,,,,,,,,,,,,,,,,,,522
,Armoured vehicles,,,,203,302,,14,14,,,,,,,38,38,,,17,42,25,25,,38,38,36,,,160,175,33,33,30,,,,,,,7,31,13,13,6,,,20,20,18,47,52,17,18,25,25,25,40,63,34,24,,13,16,32,43,35,1895
,Artillery,,,,,18,23,28,28,18,,,,,,,,,,,20,,15,,,27,,,,,,,,,,,29,,,,,,,,,,,10,36,24,,,,,,,6,4,,2,2,11,12,,,,,313
,Engines,48,48,48,48,,20,60,60,40,100,,,20,60,40,,,,,,,,51,17,,,,,,5,5,5,4,,,,,,,1,2,6,22,33,72,48,41,12,18,14,9,6,4,4,1,,,,,,,,,,,,972
,Missiles,,,,,,,,8,8,8,13,383,51,57,8,9,8,8,,,,,,,15,28,28,28,13,30,,,37,47,46,43,45,22,70,11,45,97,122,44,123,80,78,12,9,17,9,7,3,8,21,23,9,94,40,36,10,16,35,14,26,19,2018
,Naval weapons,,,,6,4,18,48,45,30,75,,,15,45,15,,,,,,,,31,10,,,,,,,,,,,,,,,,,,23,28,5,35,8,8,,,,,,,,,,,,,,,,,,,,447
,Other,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,25,25,25,23,,,,,22,22,,,50,,,,,47,47,40,119,146,103,8,,10,10,4,,,,,,,,,,744
,Sensors,,,25,78,143,143,115,53,10,25,,,5,15,13,,,,,,,40,42,14,,,,,,,,,,,,,22,22,35,45,25,43,60,51,145,68,63,26,,,,,12,32,36,60,44,18,21,8,8,10,10,8,78,58,1723
,Ships,,,,,,,,400,,,,15,,,,75,,75,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,260,260,,260,,,,,,,,,,,,1696
