,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,1,7,19,10,40,5,40,28,32,2,6,6,19,19,6,37,26,10,48,12,41,37,40,115,25,173,212,23,73,9,120,66,118,102,26,3,18,23,18,66,64,41,89,50,32,191,67,34,17,1,3,17,2,1,,,321,200,29,96,185,227,30,11,7,16,3409
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,150,,12,16,3,,,,,,,,,,,,,10,20,241
,Armoured vehicles,,,,,,,,,,,8,8,,,,,,2,,2,13,18,,6,34,10,39,,18,18,18,39,5,5,39,6,6,6,6,6,5,4,1,,1,5,1,1,16,166,139,,20,,16,,50,86,127,139,162,12,8,,,,1272
,Artillery,,,,,,,,,,,,1,1,6,6,5,,,,,,,,,,,,,,,,10,,,10,,,,,,,10,,,8,,,,8,,1,,,,,,17,,,,,,10,,,10,103
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,3,3,1,1,2,3,3,4,6,2,1,1,1,1,1,4,0,0,5,,,,,1,1,,4,6,7,4,,1,4,,78
,Missiles,,,,,,,,,,,,,,,2,,,,,4,,,3,4,10,13,4,2,16,43,2,5,17,7,4,,8,4,3,18,1,33,11,17,16,24,31,29,2,5,5,7,19,16,28,29,43,132,80,55,33,22,14,16,45,45,924
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,20
,Sensors,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,10,5,,,,,,,,,2,3,3,3,13,20,24,70,22,6,,,,,,8,5,,,,,,3,5,,23,23,23,277
,Ships,,240,,,,,50,,,18,298,31,,102,14,14,54,128,14,,8,147,8,153,229,,150,,,28,,28,170,20,370,,140,120,55,44,50,18,58,,,50,35,72,44,22,33,33,33,163,22,419,663,244,156,36,86,46,,,36,,4952
