,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,103,54,0,1,64,391,537,268,247,223,25,99,386,396,398,562,303,1462,754,389,385,843,1324,1018,477,453,115,324,32,499,776,142,1241,968,310,289,846,1229,129,86,125,155,554,731,888,1058,115,265,105,233,486,569,212,164,275,201,154,35,35,61,162,77,106,336,204,633,26087
,Air defence systems,,,,,,,,,,,30,90,120,114,54,71,71,211,140,229,597,597,807,350,,,,30,45,45,,,255,255,42,88,69,69,13,13,,25,,,,,,23,25,50,90,90,60,60,65,119,65,35,16,,300,350,,,25,,5800
,Armoured vehicles,,,,,78,281,175,33,101,76,,55,67,67,157,207,225,239,238,265,434,360,665,850,473,90,,,,25,39,725,440,180,256,332,343,115,65,18,270,388,184,331,630,515,603,465,94,10,40,79,332,221,231,235,226,275,195,69,149,149,134,70,35,46,13647
,Artillery,,,,,,,3,11,11,12,15,26,59,67,104,51,85,32,86,28,61,12,21,18,,,,,,,,,24,,80,81,71,70,28,28,28,28,28,33,85,34,,2,22,,23,1,2,8,64,86,4,81,5,,,,,,,,1616
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,16,,6,2,7,6,3,,8,,,25,32,10,6,5,,,,3,11,15,19,12,8,14,14,12,6,6,,26,8,47,335
,Missiles,,,,,,,,,,,,23,35,44,50,28,36,50,38,35,142,153,284,282,102,14,34,30,32,36,92,85,182,242,124,64,80,91,91,106,83,95,134,83,148,59,93,81,102,100,198,60,26,,,49,63,55,52,18,60,45,32,36,28,47,4351
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,20,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,8,57
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,8,5,5,,,,,,,,,,,,,,,,,,,32
,Satellites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,50
,Sensors,,,,,,21,39,,,,12,44,50,80,60,,117,117,,200,130,65,177,56,,,,14,17,17,92,110,10,15,52,33,41,61,91,44,48,199,78,22,9,30,51,36,,,,45,54,39,,77,91,28,16,,,,,55,,40,2680
,Ships,59,4,,,,,325,166,125,20,60,,138,,24,34,697,232,106,180,54,20,56,20,48,15,15,15,,,,102,304,44,619,79,23,,,,,,,25,220,,120,170,120,120,,,22,122,,,68,128,,,9,4,8,147,18,655,5540
