,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,19,,,11,15,,21,41,5,17,25,229,16,10,11,1,1,,,,25,12,113,59,38,12,100,,276,83,107,92,116,111,30,5,,,,,,17,49,150,343,375,488,676,375,1,,,,1,,24,100,7,25,40,21,21,7,7,4325
,Air defence systems,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,35,18,,,,,,,,,,15,23,40,198,,,105,,,,,,,,,3,4,3,,,,,,40,40,40,577
,Armoured vehicles,,,,,,,,,5,,42,41,,,,44,4,54,,15,15,5,,,,,28,,,,,,18,18,9,30,33,24,30,48,36,,159,40,11,,,,,,,,,210,53,22,44,34,,,0,14,0,3,,40,1127
,Artillery,,,,,,,,,,,,,,,20,28,28,21,,,,,,,,5,5,,,,,,,,,,,,,24,,22,56,,54,,,,,,,,,,,,,11,,,,,,,,,274
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,3,,,,6,3,,,,2,2,4,,,,,4,6,4,4,,,,,4,3,6,2,,,2,,,,,72
,Missiles,,,,,,,,,,,,,1,8,1,,,,,6,,,1,1,14,14,1,,5,,35,31,7,2,1,32,17,39,35,4,25,16,77,40,4,4,55,15,51,88,94,8,12,12,12,31,31,9,29,28,24,2,,40,29,69,1057
,Naval weapons,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,5,,2,,,,5,2,,,,,,,,,,,,1,,,,,,,8,3,,,,,,,,,,35
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,3
,Sensors,,,,,,,,3,,,,,,,,,,,12,,,,,,5,7,18,18,,7,,,,,,20,12,,79,10,13,3,100,113,129,43,5,3,5,,,,,5,13,38,52,20,3,7,,,8,129,80,72,1024
,Ships,,,,,,,,,,,,,12,,40,,,,,,,,,,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,,,215
