,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,99,704,982,1228,888,1015,1013,556,947,677,294,193,75,,1046,146,1,3,1,9,4,,,9,4,2,3,12,48,52,70,74,110,84,41,,72,84,95,127,8,869,294,18,15,41,23,104,138,90,16,,24,29,78,,54,63,,12,3,8,12,64,,,12726
,Air defence systems,,,,,,,,,70,105,105,25,25,25,,,,,,50,75,75,50,50,,,188,188,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1218
,Armoured vehicles,,,,36,91,117,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,1,10,1,,,339
,Artillery,,,,,,,,,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,14,18,18,7,5,2,,,,,,,,,,,,,,,,,,,,,74
,Engines,,,75,102,49,24,36,24,24,42,23,23,,,,6,39,54,66,30,30,30,15,,,,,,,12,,27,27,15,27,15,24,,12,9,27,27,20,16,15,12,8,8,13,20,20,16,20,13,,,11,11,2,2,28,2,25,11,,15,1203
,Missiles,,,,,,,,,22,22,,6,28,36,47,25,36,36,20,12,15,28,28,28,19,13,43,51,43,,,,,4,,,,,,,11,11,11,11,,3,3,3,13,,68,50,,,,2,2,,,,23,21,25,29,17,2,865
,Naval weapons,,,,,,17,28,28,11,,,,,,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,3,,,3,214
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,30,20,10,,,,,,,,,,2,2,3,1,1,1,,,150
,Sensors,,,,,,,,,,,,,,,13,13,,,26,,,,,,,,,,,,,,,,,,,,,,,48,48,38,,,,,,,,,,15,15,,,,,60,35,,15,,,15,339
,Ships,119,263,65,327,375,117,75,75,,,,,,,22,8,,,,,,8,,30,30,30,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,1610
