,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,,,,,,2,,,3,0,2,,,4,1,24,,2,7,30,45,28,65,,20,33,5,,73,2,2,2,,8,8,,,,,,,,,,,,,,,,18,18,,,18,5,1,2,,,429
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Armoured vehicles,,,,,,,,,,,,1,,,,,,,2,,,,,,3,,,,2,,6,,,11,4,,5,5,,,,,,,,,,,,,,,,,0,,1,,,,3,,,,,3,46
,Artillery,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,10
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,,,0,6
,Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Ships,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,13,,,,,,20,,,,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,81
