,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,25,270,29,321,237,338,155,564,745,667,259,691,332,554,694,551,528,674,838,760,380,733,940,440,411,484,915,1142,326,419,828,1560,1334,1426,1621,1831,2060,1506,1703,1888,998,623,355,75,23,619,246,529,104,537,85,271,609,1326,1014,484,492,1765,1232,1059,2166,2452,1747,2624,2532,1995,57136
,Air defence systems,,,,,,,,,,,,,,54,54,71,71,54,,36,36,36,37,36,36,35,385,525,193,140,20,40,40,40,200,180,160,265,265,277,102,4,,,,,,105,107,42,4,4,147,,6,4,,,147,147,,,8,4,8,74,4198
,Armoured vehicles,5,,67,,,,165,233,74,,,,,,80,340,260,268,240,240,240,457,400,379,367,150,168,217,239,304,239,175,389,586,585,584,542,467,439,431,443,343,321,321,321,364,346,320,220,238,155,366,472,266,236,200,442,156,152,400,440,484,563,243,200,200,17540
,Artillery,,8,8,8,8,,,,,,,15,15,17,17,23,28,32,61,63,84,163,148,105,75,79,39,29,,,,,3,,,,15,70,140,130,45,10,,,31,52,,,,,1,6,,12,56,56,50,19,14,17,,,,,,,1751
,Engines,,,,36,17,,,,,,,11,,,6,6,6,14,20,24,27,27,27,38,38,38,15,3,3,3,3,3,3,7,3,14,37,33,39,43,43,26,14,11,8,12,13,41,6,28,3,46,22,83,52,9,12,35,21,40,66,74,73,245,239,248,2010
,Missiles,,,,,,,,,,,,,,10,12,14,16,16,65,63,69,105,85,85,88,51,49,121,110,97,83,98,103,133,167,179,304,411,342,317,313,174,61,62,64,92,63,122,161,201,256,406,545,460,300,187,264,193,249,186,139,180,356,534,321,310,9386
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,12,,12,,1,12,3,3,5,,,,,3,16,3,15,3,17,26,46,68,85,40,1,1,1,30,30,30,6,40,35,547
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,20,,,,,,,,,,,,60
,Sensors,,,,,,,,,,,,,13,13,58,45,46,18,31,18,31,,,35,69,110,179,209,187,161,162,162,140,166,177,200,43,67,68,249,257,230,187,169,174,165,136,199,152,150,109,142,74,51,122,127,167,61,34,79,160,176,180,93,148,217,6402
,Ships,110,,,66,4,12,46,182,134,188,286,406,11,,,,40,184,395,303,6,344,165,193,193,155,178,138,140,70,445,100,275,292,17,66,970,1016,835,665,511,463,263,99,263,176,95,373,45,5,380,63,17,594,305,11,14,70,17,17,17,311,1589,1545,,,15869
