,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,158,0,0,6,0,1,18,,239,393,210,569,473,23,185,291,16,1,1,9,9,25,5,50,11,4,141,44,93,67,383,162,154,200,83,27,19,23,38,77,188,2,,1,1,26,180,72,33,126,70,17,15,248,35,20,21,21,45,168,155,49,90,639,306,446,7185
,Air defence systems,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,77,147,133,,,,,,,,,,,,,,,,,,,,3,,3,,,40,44,34,90,588
,Armoured vehicles,,,,,,,,,,3,33,78,79,56,56,9,,,,,,,,,,,,16,20,12,55,58,16,12,,,,,,,,,,,,26,11,11,42,20,4,,11,,4,,,8,,4,25,1,6,13,132,32,850
,Artillery,,,,,,,,,,,,,6,9,32,,,,,,,,,,,,,,,,,,60,,,,15,15,,,,,,,,,12,5,,,,,,1,1,,,,1,,,32,6,,27,33,255
,Engines,,,,,,,,,20,,,,,,,,,,,,,,,,,,14,,1,25,32,10,2,,,,,,,,,,,4,4,4,4,4,4,4,10,10,10,19,10,11,6,25,20,8,3,4,13,33,31,9,350
,Missiles,,,,,,,,,,,,29,28,8,6,5,,,,,,4,,,,,,,12,30,39,24,24,6,6,21,40,37,40,8,8,2,,,,,,12,6,,,,,2,,,10,27,9,12,43,19,41,43,38,66,698
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,,,,,,,,3,3,,,3,3,,,,,,,5,,3,,3,,,6,3,3,,,,,8,,63
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,13
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,93,100,24,,,,,,24,9,6,6,,13,13,,15,5,5,15,22,,7,,7,5,23,20,13,5,,35,23,17,31,7,578
,Ships,53,58,14,,16,24,24,34,353,320,201,201,492,84,259,33,,,,,19,65,,22,62,,,,,193,281,444,78,8,11,164,211,56,191,152,,,50,193,448,226,158,,,,40,,22,86,20,,,469,149,235,,110,,,529,,6856
