,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,4,1,0,1,64,95,91,44,31,2,1,,,100,2,179,341,138,687,600,636,1229,572,1047,1636,3575,3476,3918,1505,188,44,177,15,64,60,34,45,,,12,296,683,,275,13,10,56,,68,,74,238,198,68,,,69,,,,,,,,,,22663
,Air defence systems,,,,,,,,,,,,,,,,,50,24,24,40,35,,154,161,225,590,338,963,963,113,,,,,,54,54,,,36,54,82,,,,7,7,,,15,15,15,15,15,15,,188,175,,,,,,,,,4423
,Armoured vehicles,,5,,,11,16,15,5,84,84,,64,64,,,,25,100,100,414,417,112,326,411,418,322,42,62,275,142,94,106,393,261,90,,340,340,210,90,,,,332,153,189,50,113,243,243,251,186,19,3,3,3,3,3,3,3,3,3,,,,,7241
,Artillery,,,,,,,,,,,,23,34,34,23,,,16,33,18,56,13,,82,55,66,99,99,99,11,,1,78,169,147,399,98,159,100,7,8,21,82,14,10,6,4,4,9,7,7,7,7,,,,,,,,,,,,,,2102
,Engines,,,,,,,,,,,,,,,,,,,,,,11,,20,5,99,119,42,6,6,,4,,,31,,,,,1,2,12,,4,10,16,4,4,4,4,4,,,,,,,,,,,,,,,,409
,Missiles,,,,,,,,,,,,2,2,3,3,3,26,13,46,51,22,75,96,167,273,387,221,343,499,62,,,25,15,5,68,176,250,153,32,79,203,130,134,47,53,60,56,56,40,47,52,52,55,56,49,158,147,53,53,68,61,41,13,13,13,4809
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,15,18,10,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,72
,Sensors,,,,,,,15,,,,,9,,,,,,5,,,,39,48,44,,88,163,16,46,4,,18,,,,,45,60,,,,7,,,,,,,,14,14,14,,,,,,,,,26,33,,18,,,723
,Ships,,,,,,,,4,4,10,10,10,10,,114,,,82,,109,17,200,165,86,214,16,,95,334,,140,173,30,,145,92,45,24,15,15,15,15,220,228,220,15,433,,,,,8,139,136,42,,,,,,,,,,,,3629
