,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,141,91,454,645,193,420,778,516,224,145,119,37,411,612,659,572,73,13,13,174,333,673,1066,725,583,576,316,79,54,87,74,41,64,87,84,48,54,23,30,93,17,85,61,36,91,175,119,419,5,,210,140,75,397,374,47,,5,,,30,225,140,0,40,181,14249
,Air defence systems,,,,,14,16,16,84,70,105,105,70,,125,125,,,,,,,,,,,,,,113,150,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105
,Armoured vehicles,17,,,36,,,168,170,,,,13,25,25,49,85,255,60,105,105,105,343,377,163,372,321,326,312,312,186,126,,,,55,57,33,33,31,,,,,7,,,,,,,2,2,7,,,6,6,8,10,6,,,,,,,4315
,Artillery,,5,5,,,,8,43,76,46,13,,1,1,1,1,10,10,,24,28,28,28,28,28,27,,,17,18,18,17,,,,,,,,,2,10,10,5,,,,,,,4,1,11,15,10,45,45,45,45,45,63,,,,,,835
,Engines,,,,,3,,,,,,,2,,,2,6,,,7,0,,9,9,9,2,12,8,25,37,47,51,34,78,58,50,25,10,5,,31,45,50,44,48,36,49,53,61,22,2,1,24,30,27,19,17,6,33,45,19,0,4,8,18,22,32,1234
,Missiles,,,,,,,,10,18,76,64,64,39,95,121,56,27,8,,17,25,25,79,52,104,74,54,89,131,96,81,34,82,127,40,29,74,74,74,48,43,17,25,50,37,82,87,29,16,16,13,26,58,62,15,36,90,112,100,12,18,18,18,25,38,43,3066
,Naval weapons,,,,,3,3,,,4,,,35,,30,99,,,,,35,,,58,,,,,,,,,,,,,,,,,,,29,29,,,,,,,,,,,,,,,,,,,,,,,,324
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,28,28,,,,,,30,30,,,,,,,,30,10,,,,195
,Sensors,,,,,,18,,20,25,7,70,159,163,110,59,,,15,31,22,,,37,,,5,5,14,30,10,17,7,28,35,45,47,29,49,45,24,50,15,,42,37,,,10,13,8,12,28,33,28,28,11,11,47,20,27,4,21,43,48,45,65,1766
,Ships,,138,,90,95,131,182,99,,33,19,45,27,,,,31,,26,80,40,,93,21,21,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,275,275,,,,,,,,275,2010
