,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,1,8,71,283,599,969,916,451,470,195,156,144,1612,910,76,328,256,229,351,447,460,427,760,1410,1380,753,585,433,480,748,1114,1291,1611,1518,1353,1499,1537,1640,1424,1829,2099,1598,821,807,551,604,1209,1107,292,247,247,195,197,282,270,214,379,234,240,144,133,180,293,194,43260
,Air defence systems,,,,,,,,,95,25,32,,,,100,100,100,135,135,135,135,170,70,70,70,81,85,50,311,300,300,300,14,,,,21,42,28,110,674,606,28,70,42,89,56,14,28,28,56,14,42,42,14,14,21,21,,,,,14,14,28,14,4944
,Armoured vehicles,,,8,8,150,50,36,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,315
,Artillery,,,,,,8,20,9,9,9,,,,,,14,,,,,,,,,,,,,,,,,,7,62,53,56,50,50,56,58,40,33,31,29,40,29,26,26,26,13,12,12,8,11,8,8,0,0,0,1,0,0,0,0,0,811
,Engines,,,,,,,40,,80,7,111,28,38,43,51,72,52,52,52,59,65,66,65,66,89,109,82,79,86,92,91,97,96,104,92,94,111,68,97,106,117,73,40,72,25,79,72,48,51,65,93,96,98,103,83,65,49,59,47,69,35,63,31,19,23,39,4047
,Missiles,,,,,,,,5,10,16,41,29,29,14,22,75,45,57,65,61,65,76,40,40,40,46,58,52,64,98,148,148,204,210,254,250,265,247,234,340,395,384,306,220,94,103,85,93,93,6,7,21,8,32,13,11,58,41,101,161,100,36,36,37,40,37,5862
,Naval weapons,,,,,,,10,6,30,30,64,13,,3,21,39,24,28,33,29,31,16,26,30,33,24,45,17,15,46,13,20,16,68,26,40,70,28,39,30,22,12,5,30,,28,28,5,28,5,8,3,10,56,30,25,25,28,28,20,,20,28,28,55,,1486
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,20,,,,,,50
,Sensors,,,,,,,33,58,87,51,71,46,,,3,,28,19,19,19,11,7,16,7,16,15,25,25,34,28,30,30,18,28,18,28,28,15,18,,,5,10,56,15,65,38,8,41,32,22,20,33,45,52,59,81,135,105,31,31,28,28,28,38,25,1849
,Ships,,,,207,84,71,20,13,6,80,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,31,,28,,,,28,28,,,,,,,,,,,,,,695
