,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,,,1,6,,2,17,42,39,,22,20,79,78,11,50,18,,18,81,238,48,54,48,84,50,2,73,51,137,84,,2,2,,29,,,284,702,0,300,0,63,,10,,24,11,11,23,340,331,375,,,15,38,38,146,4099
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,25,25,25,,,,,,,,,87
,Armoured vehicles,,,,,,,,,,,,,4,4,4,,,,,,,16,,25,32,,,,18,18,,,22,131,125,3,,,,,,,,11,,17,,,,,,,28,42,13,,,23,73,62,51,,,,16,26,761
,Artillery,,,,,,,,,,,,,,,,2,,,,,14,18,24,10,,,,,,,,,,,4,,,,,9,,,,,3,,,,,,,10,29,,,,,,,,18,,,,,,140
,Engines,,,,,,,,,,,,,,,,,,,,,,,5,14,,,,,,12,,,1,19,20,1,,,,,,,,2,,3,,10,,36,,6,3,12,4,3,12,6,,15,12,,,,1,14,211
,Missiles,,,,,,,,,,,,,,,,,,,,,,1,11,7,,,11,,,28,,3,,,14,,,,,,,5,,,,76,33,64,15,23,18,1,43,16,30,18,9,113,82,136,8,5,32,12,,4,815
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,2,7,,,9,5,,,,,,,22,5,,5,,,,,,,,,,,,5,,,,,,,6,,,6,6,,,,,,77
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,26,13,,,,,,,,,,,,,59
,Sensors,,,,,,,,,,,,,,,,,,,,,,20,5,,,,24,12,,,,,,,30,9,14,12,,27,,,13,,21,19,,10,24,53,8,,26,40,7,,14,20,23,12,17,,,22,19,,497
,Ships,,,,,,,,,12,12,5,,11,29,54,8,36,107,11,,,91,48,143,,,109,81,,208,45,44,59,104,339,253,33,,,,,,,,,30,,150,,540,,,,,,,310,,,908,310,,,,,,4088
