,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,0,2,0,1,5,27,31,1,1,19,137,89,1,26,70,1,,18,176,178,89,153,315,508,242,486,245,52,,,,,1,20,77,,,,,,10,,,,,5,10,,,,,,,,32,1026,378,,4,36,4473
,Air defence systems,,,,,,,,,,,,1,1,,,,,,,,,,,,,,18,19,,30,46,,,,,,,,,,,,,,,,20,0,,,,,,,,63,21,21,21,,,30,30,,,,322
,Armoured vehicles,,,,,,,28,10,10,11,10,,49,,,24,14,57,69,12,8,,,,15,3,,60,33,100,127,70,53,62,59,38,30,12,54,35,10,60,17,86,86,,4,110,,60,120,,,,,,20,,,39,214,1,,19,,,1898
,Artillery,,,,,,,,,,,,,6,14,,,,8,35,,,,,,,26,3,18,20,20,,15,13,13,,,,,,,,,,14,,,,30,,,4,,,,,18,,,19,,14,,30,,,,318
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,13,,,,,,,,,,,,,,,,,,,,16,26,10,,15,,95
,Missiles,,,,,,,,,,,,,,,,,,,,,,,,3,3,,38,44,31,37,12,28,23,83,,,,2,1,,,2,,,,,,1,,,,6,9,,,6,6,6,6,,1,89,31,30,43,6,545
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,3,,35
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
,Sensors,,,,,,,,,,,,1,1,,,5,,,,,,,,,,,41,46,,,,42,48,59,,,1,,,,,,,,,,,,,,,,,12,14,14,,,,,28,47,30,33,29,,448
,Ships,,,,,,,,,,,9,8,,,17,33,,11,,,,,,,5,,25,65,20,,,118,118,100,,,,18,53,70,36,,,,30,30,60,84,,,,,137,,,,,,,,,174,312,,480,,2013
