,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,75,366,349,526,255,309,642,562,396,42,150,167,197,494,529,524,63,36,6,191,378,378,243,,,14,22,15,8,163,452,564,702,688,633,351,124,330,207,506,207,208,145,5,68,12,162,63,134,117,65,109,155,,40,,,,,1,62,27,162,149,7,62,13610
,Air defence systems,,,,,,,,,,35,35,35,70,70,185,150,,,,,,,,,,,113,233,233,253,,,,,,,,47,47,94,,,,,,,,,,,,,19,38,,,220,,,32,,,,,,,1907
,Armoured vehicles,,36,31,220,203,203,204,30,30,47,87,40,40,111,73,,15,22,63,295,298,302,298,,,,,275,308,216,,14,313,398,420,410,410,89,,,,6,14,23,20,,,,9,18,,,,1,,,18,42,58,61,63,76,74,,,,5978
,Artillery,4,11,11,,,,19,19,,3,3,37,37,,,,34,18,71,58,,,,,,,,,3,,,26,40,40,40,2,1,,12,13,,,,,,8,,,,,,,,,9,9,50,63,50,63,14,,,,,,765
,Engines,,,,,,2,6,,,,,,,,,,,,,6,9,9,3,0,,15,15,,18,18,30,30,27,33,,,30,,,6,5,28,23,29,33,14,8,2,8,,,,14,14,14,14,3,9,1,2,5,18,11,14,3,10,537
,Missiles,,,,,,,2,2,10,19,20,20,20,1,81,71,70,33,3,,6,,100,21,40,33,71,57,120,107,108,95,138,138,78,127,159,151,102,60,63,66,51,69,62,22,29,16,60,67,30,22,22,42,35,30,14,41,27,101,25,16,6,43,,,3015
,Naval weapons,,,,124,20,60,60,80,20,,,,,,35,,,,,,,,,,,34,34,,13,13,18,18,10,20,3,3,68,,,,,5,3,5,5,3,,,,,,,23,23,23,23,,,,,,2,1,1,,,747
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,1,1,,1,,,,,,1,23
,Sensors,21,,,3,3,,11,3,11,,,8,5,35,7,,8,,,,,,13,,,,13,,5,13,18,15,19,45,30,8,23,15,16,31,5,,5,5,5,3,6,45,60,63,30,48,11,8,6,26,15,84,22,28,24,11,14,16,,13,924
,Ships,54,27,,102,314,173,229,,,,,,,,,,,623,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,108,108,,,1882
