,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,40,63,122,10,,36,16,90,58,,,,,,,1,236,,56,,137,,14,13,0,15,3,34,,,,31,1,1,32,1,20,,,,2,34,34,34,,,,6,13,,,45,17,59,,,,,,,,20,20,21,69,51,1451
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,14
,Armoured vehicles,1,,,3,,,,,,,5,1,,5,,,,,,,10,8,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,15,15,10,,,,,,,,,,,94
,Artillery,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,5,,5,,,,,,,,,,,,,,,,,30
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,7,,7,,,,3,3,,,6,,,14,,,,4,2,55
,Missiles,,,,,,,,,,,0,1,,,,,4,4,,,7,,7,6,6,6,,,,,,,0,0,,,6,,,5,,,9,,,,,3,3,3,,,,,,,0,1,2,,,,,,3,3,79
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,,,,,,,,,,,,,,,,,40
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,,,,,,,,,,,,61
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,5,5,7,2,,2,11,22,6,10,,,,,18,,18,,,,,,,5,,,,,3,5,5,3,,131
,Ships,,,36,,,,132,,,,110,110,8,,,9,165,,,,,125,,,,25,,,,,,,50,83,,,,,51,6,,,,,16,,,251,,251,,,,,,,,74,,48,44,,,,,,1594
