,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,125,19,334,382,,93,170,136,125,5,25,30,44,205,26,4,256,273,240,448,3,,68,65,54,,7,9,7,0,210,397,372,372,186,,,6,96,308,,,7,,,,7,7,,,,,,,,,,,38,38,75,7,45,7,7,117,5453
,Air defence systems,,,,,,,,,,35,70,35,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
,Armoured vehicles,8,8,12,12,5,,,,,,,,,,9,20,14,14,,,86,86,,,,,,,,,,,5,,8,,,6,14,13,,5,13,77,,22,25,,41,67,69,16,75,,1,,2,2,6,2,6,2,1,6,5,17,780
,Artillery,,15,15,15,15,15,17,3,2,5,4,,,,,,4,4,,55,55,,,,,,,,,,,,,,,,15,5,10,10,,,,,,,,7,7,,,,,,,,,,,,,,,,,,278
,Engines,,,,,,,,,,,,,,,,4,66,60,,,,,,1,1,,,2,,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,9,9,10,12,10,5,,,231
,Missiles,,,,,,,,2,2,30,33,22,2,16,25,30,46,33,28,15,,,,4,,49,9,8,4,,,13,38,39,114,100,83,59,100,130,86,112,117,88,73,37,67,60,66,64,125,47,,,,11,16,25,23,11,,60,60,21,1,2,2203
,Naval weapons,,,,,,,,,,,,,,,,2,30,27,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,2,,,,23,23,23,23,8,23,6,3,,,197
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Sensors,,,,,,,,,,3,3,,,6,,62,139,176,12,,,,,4,,,19,4,4,27,27,17,38,30,29,22,44,33,88,116,94,5,17,17,22,20,89,85,38,24,35,36,12,14,5,3,67,84,99,79,59,84,28,20,10,8,1946
,Ships,38,28,65,10,,60,95,,14,26,8,13,40,,180,225,192,90,,,,,,,,,,,,,,,,,,,,,,100,200,200,100,,,,,,,,,,,,,,427,427,427,427,,427,,,,,3817
