,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,66,213,520,747,1638,906,500,545,420,606,466,498,373,366,799,416,574,415,384,503,377,448,508,518,482,356,102,130,308,499,611,522,471,25,7,548,565,449,186,151,108,25,8,,10,53,98,,,23,23,26,26,121,121,36,279,799,477,35,52,30,52,26,,,20643
,Air defence systems,,,,,,,,30,31,31,31,31,,179,179,179,179,,147,154,154,259,105,175,175,193,221,309,310,222,166,120,,160,120,120,95,60,25,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,4161
,Armoured vehicles,,225,250,250,305,80,110,245,410,288,288,202,212,144,152,157,185,310,304,259,136,146,151,242,267,267,269,255,250,236,151,58,125,125,125,125,233,234,234,180,86,43,32,,,133,,,,,,,48,171,5,38,53,53,35,37,51,17,53,53,208,74,9368
,Artillery,19,19,12,12,12,15,11,18,18,11,11,21,21,7,8,5,,8,26,23,23,27,27,9,18,18,25,39,39,36,36,36,73,73,73,27,50,23,14,18,9,5,,,,,,,,,,,,,,,,,,,,,,10,,,979
,Engines,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,4,5,5,5,5,5,1,1,1,6,8,14,14,9,1,3,3,3,3,11,4,7,11,5,9,7,3,4,2,11,9,5,4,222
,Missiles,,,,,,,,12,12,12,12,52,43,85,149,148,41,11,3,3,27,52,68,114,114,114,145,173,186,136,126,72,53,73,63,94,207,207,151,77,22,,,,,,,,,,3,3,14,21,68,7,65,70,50,72,23,39,58,29,11,15,3406
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,3,3,,3,3,,,,,,,,,,,,,,,,,,,,,17
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,28,28,14,21,28,,28,28,28,,219
,Sensors,,,,,,,6,12,10,6,6,6,6,51,51,51,,,,5,6,7,7,2,23,23,27,23,21,,,,,,,,7,5,,,,,3,,5,,,,,,,5,1,14,5,6,33,31,11,,,5,5,,,38,516
,Ships,,,,,32,98,60,228,158,40,40,40,34,170,227,198,,,,,225,,,,,,,,,,,,,70,70,,220,28,279,70,43,86,,,,,,,,,120,,156,18,18,,,,,,,,,,,,2726
