,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,11,18,116,143,145,89,34,15,77,2,31,119,27,36,45,39,160,20,20,92,58,18,17,17,28,72,64,64,84,3,29,46,179,,106,141,,,20,101,44,29,,230,423,,,,,,,,,29,70,154,206,57,98,146,162,110,29,,,,4067
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,6,,21,,,,,,,,,,,,,,,,,,,,,,,,,40
,Armoured vehicles,,,,93,21,,,,7,8,,,,,,24,6,6,6,,1,,,,,,,28,39,,2,,,,3,,5,5,,,,,2,78,5,10,5,,6,0,1,1,,,,,,2,27,72,18,18,,,3,9,508
,Artillery,,,,,5,,,,,,,,,,,,,,,,,11,,,,,,,3,,,,7,,,,,,,,,,,,,,0,0,10,2,1,18,,,,,,,0,0,0,0,,,,1,59
,Engines,,,,,,,,10,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,2,,,,,,,,,,,,,1,4,13,15,7,,4,1,1,106
,Missiles,,,,,,,,,,,,2,2,,,,,57,57,48,,,,,6,6,,2,2,2,4,5,5,4,,,,,34,9,4,67,5,5,5,5,2,,,1,,,,,,4,14,,,4,13,26,9,9,,,416
,Naval weapons,,,,,,,,10,,,,,,,,,10,10,10,1,,,,,5,16,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,78
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
,Sensors,,,,,,,,,,,,,,5,,,,,,4,17,9,,,7,22,,,,,,,,,,,,,27,21,26,95,12,31,5,5,,,,,,,,,,,,,15,10,10,8,3,,,,330
,Ships,7,,,49,103,77,40,128,17,39,,25,,,,,60,195,285,194,295,140,,,70,210,,,,,,,,,,14,,,,,,748,,18,,,,,,,,,,,,,,,,124,674,,,,,,3513
