,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,,,,,,,,,,,,,1,,,16,,,,14,14,,,,27,27,20,165,158,,,,,,,,16,,,,,93,248,31,,,,,,,,,,286,30,198,292,,29,479,2145
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,,,40,50,,,,,,,,30,10,,,,,,,,,,,,,,,,,,55,269
,Armoured vehicles,,,,,,,,,,,,,,,,,,,1,3,3,,,,,,,55,16,14,21,19,19,,,,,,5,,,,14,1,0,1,,1,14,3,,,,,,,,,,,,,3,6,,50,250
,Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,,,,5,,,12,17,,,,,,,,,,,,,,,,,,,,,,,14,60
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,1,0,,,,,,,,,,,,,,,4,7,28
,Missiles,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,30,98,91,7,2,12,22,5,,,10,10,10,10,10,85,20,29,14,11,11,11,,,,,,,0,,24,57,,50,629
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,10
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,8,,,,,,,,,,,,,,,,,25
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,,,5,10,5,5,5,8,,,,44,15,,,,,,,,,,27,,,,,,,,,197
,Ships,,,,,,,,,,,,,,,,,,,,,,,,,,24,12,,,,,,58,116,,,,,,,,,,,,,97,32,,,,,,,,,,,,,,,,11,22,,373
