,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,69,361,736,529,311,314,83,59,50,105,,108,108,,390,297,370,597,405,302,315,313,304,388,326,32,39,77,358,207,160,247,150,146,151,87,62,47,117,381,18,24,12,28,0,32,18,,3,3,1,,,,,,30,6,,32,32,16,16,,16,9387
,Air defence systems,,,,,,,,,,,,,7,54,71,86,86,54,,,,,,,,,,,,,53,70,53,,,4,,,,4,,,,,,,,4,27,27,,,,,48,168,42,36,36,6,,,,,,,933
,Armoured vehicles,,7,52,90,90,33,33,,,,,,,,,,,,,,125,156,164,164,164,178,172,218,157,218,154,91,28,28,45,50,50,50,49,31,43,29,3,,,,,,,,,,,,,,1,2,6,,19,1,2,1,0,3,2708
,Artillery,6,6,,,,18,36,40,40,40,39,21,29,33,33,18,,,,,,5,,,9,9,,3,2,,,,,,,,,,5,5,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,411
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,9,12,13,19,21,25,26,26,22,8,1,,,,,,,,,,1,1,,2,3,2,2,2,6,6,3,3,,3,226
,Missiles,,,,,,,,,,,5,,31,19,45,19,18,18,6,6,11,11,19,29,83,83,27,26,19,21,41,41,45,36,36,63,51,51,42,35,60,2,17,1,1,1,1,14,1,3,10,11,11,16,20,26,3,6,6,7,7,,,,,,1158
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,8,,13,8,10,,16,,,8,1,,1,,10,,,,,,,3,3,,,,,,,,,,,91
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,11,,,,,,,59
,Sensors,,,,,,,8,6,6,6,6,6,6,14,14,6,,,,,,,,,,,,,,7,26,17,20,15,,32,15,18,,18,,,,,,,6,15,142,109,8,8,4,,,12,,10,10,30,41,41,,,,,680
,Ships,,,23,73,5,,58,64,12,12,33,14,14,,255,,,,,,135,,18,54,51,63,63,63,42,42,42,85,42,36,,,220,,24,24,94,,126,,,,,,,,,,,,215,215,,,,,,,,,,,2217
