,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,0,,7,1,2,16,1,47,27,5,,,14,,,48,111,67,378,274,,,92,181,366,291,215,545,423,40,219,620,1301,1276,232,125,1709,1221,83,887,1344,491,529,226,,283,991,2110,2382,1156,15,7,120,40,220,11,7,110,50,504,695,753,256,676,1197,1973,26965
,Air defence systems,,,,,,,,,,,,,8,,,,91,125,50,,,,,,,30,36,30,68,196,306,269,178,113,150,173,164,124,124,124,124,36,,188,188,188,235,188,,,,,,,,,,,,,,,,3,236,233,3975
,Armoured vehicles,,,0,0,0,0,9,9,11,2,11,12,,,,,,,10,51,49,,,,,35,162,218,282,376,152,178,113,104,54,68,174,105,4,10,214,158,322,1401,426,111,61,32,27,23,20,28,5,44,71,48,65,40,66,47,29,69,298,394,699,434,7332
,Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,20,9,14,44,37,63,33,22,30,47,57,,3,3,4,47,53,39,1,,,,1,,,22,,22,,2,,,,33,34,52,64,6,39,33,4,837
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,5,4,,7,14,4,,,0,12,19,9,10,16,6,5,5,4,2,2,2,4,2,3,5,165,165,163,26,35,14,41,51,805
,Missiles,,,,,,,,,,,,,,,5,,33,18,18,6,,,,1,2,92,139,121,165,89,199,281,212,92,97,179,196,441,410,149,174,137,100,406,251,288,334,308,385,344,11,9,54,66,126,106,110,33,33,25,72,208,349,435,384,298,7988
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,13,3,15,15,,,,,,,,,,,,,,,,,3,,6,,,,,,,,,,,,71
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67,,,,,,,,49,49,56,56,56,39,44,44,1,14,14,15,47,,20,26,15,5,,50,95,73,56,46,1008
,Sensors,,,,,,,,,,,,,,,,,,,,,5,10,10,,,,,,,,12,78,66,51,45,51,57,101,160,150,176,126,71,40,53,48,37,63,56,8,13,,,,,,,,,15,59,68,41,39,136,122,1964
,Ships,,,,,,,,,,,6,,,,,,,,,53,,,,,,,30,,20,20,137,335,305,76,120,660,540,,,59,,45,,45,,,,45,,,,,347,,695,,,,,,,,,,,,3537
