,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,,,,,,,,,,,,,,20,30,56,34,44,93,134,128,132,25,211,277,60,9,41,78,116,71,272,372,52,164,11,38,126,118,61,54,426,558,164,511,36,139,,341,465,10,4,93,689,628,430,444,651,626,,9039
,Air defence systems,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,13,13,,117,117,,,,,,,,,,,,,,,54,54,,,,,,,,,,,,16,16,,,,456
,Armoured vehicles,,,,,,,,,,,,,,,,1,,,,19,43,31,8,56,56,35,4,,25,50,50,54,,,,,,,25,25,,,,23,22,7,3,6,1,,,1,5,5,5,2,,3,69,36,161,171,78,5,17,29,1130
,Artillery,,,,,,,,,,,,,,,,,,,,,,21,22,,,,,36,,,,,,,,,,,,,,,14,8,,,,,,,,,,,,,,,,,13,7,,,,,120
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,3,92,96,4,4,,6,8,4,20,21,37,15,30,22,12,12,7,,,16,59,37,16,11,12,22,9,,581
,Missiles,,,,,,,,,,,,,,,,,,,,38,,,9,,9,9,9,,,22,34,50,30,65,,,,,43,36,49,49,9,8,33,38,42,37,81,50,74,90,55,55,14,26,40,20,16,68,68,92,111,61,18,65,1622
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,5,,5,2,2,,,,,,,,,,,,,,8,8,,,,,8,8,17,,,,,,,,,3,8,6,,,,,,,80
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,30,30,15,6,,,111
,Sensors,,,,,,,,,,,,,,,,,,,,,,18,12,,40,15,13,,,32,28,,21,21,,,,,13,26,77,74,30,,,46,44,55,69,36,39,33,24,12,9,45,5,15,29,86,104,80,53,36,14,5,1253
,Ships,,,,,,,6,,,,,,,,,,8,,6,6,19,39,88,,88,52,91,,,,,,,,,,,,,,228,228,20,,,150,,73,,,145,73,,,,,,280,839,559,,99,99,,,,3194
