,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,47,159,199,164,39,53,4,16,1,6,1,247,77,4,111,147,128,475,503,289,194,299,291,38,278,399,443,429,342,53,15,36,525,637,928,518,327,6,17,11,87,188,254,150,22,180,106,33,134,71,54,19,,35,28,,19,16,9,9,48,41,9957
,Air defence systems,,,,,,,,,,,35,,,,,50,50,,,,,,,,,35,35,,75,75,,,,,,,,40,191,210,,,,,,,,,16,16,,,10,30,,19,,,,,,,,,,38,924
,Armoured vehicles,,,,20,9,9,,7,76,111,37,35,,,12,13,36,36,10,7,61,41,27,38,77,72,72,72,87,72,63,136,91,47,,14,,3,,,,,78,187,,88,88,2,,,7,32,12,11,64,192,163,204,213,146,185,75,41,36,2,,3212
,Artillery,,,,,,,14,11,12,15,15,15,8,8,9,8,46,,,,15,7,7,,,,10,10,,,,22,22,22,,,,,,,,5,,11,,12,11,10,6,7,,,3,3,3,,3,,,,,,3,,,,355
,Engines,,,,20,,40,20,,,,40,20,,,20,40,,,,20,20,,,,,,,6,9,22,16,9,9,4,12,13,13,25,37,12,11,10,13,13,5,13,27,22,14,11,18,11,28,30,30,4,19,17,18,19,17,3,34,3,1,,818
,Missiles,,,,,,,,,,,,,12,,,26,26,8,8,,,,13,20,7,14,7,,19,34,61,34,23,45,35,60,58,65,82,91,46,81,88,61,72,17,21,28,23,55,72,69,26,24,44,60,5,10,14,50,57,75,82,116,74,74,2086
,Naval weapons,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,15,6,6,12,,6,6,,,,,,,,,,,,,,,,,,,20,20,20,,20,,,,,,20,,,,153
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,13,13,12,12,,,,,,,12,12,12,12,12,3,,136
,Sensors,,,,,,,,,,,,26,34,,,,,,,12,12,,8,,9,87,105,24,19,51,57,3,24,33,26,15,15,40,35,29,25,11,10,21,61,10,29,5,7,25,39,11,43,64,60,30,105,72,72,8,,,37,,,,1402
,Ships,,,,38,33,10,35,105,10,116,100,,,,18,18,42,231,,,,79,195,539,294,660,313,116,,,41,,,400,,200,500,300,685,,300,,7,,630,30,,,,79,79,,,,40,40,,,,,,,,,,,6280
