,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,96,301,380,146,435,246,230,306,324,158,49,43,278,304,384,166,348,115,245,332,136,82,47,103,266,345,368,326,427,320,302,350,418,194,353,588,81,20,20,42,189,163,254,343,373,120,2619,2670,1092,255,126,182,72,,160,,,,,,,106,274,743,373,19783
,Air defence systems,,,,,,,,,,140,140,33,50,25,,,,,,56,,,,70,48,,15,150,150,,,75,113,,24,,108,93,119,40,14,14,7,,,,61,115,54,,,,,,,,,,,,,55,110,,62,165,2106
,Armoured vehicles,,2,3,3,3,4,10,53,245,256,30,,,,,,,,51,51,,,,,50,40,53,,25,25,,,,20,42,87,69,42,63,105,150,159,147,126,63,98,148,42,104,82,23,31,15,,,27,27,,,,,,,,,,2573
,Artillery,,,,,,49,,39,76,74,,1,,,33,23,35,38,78,76,10,,,,,,,,,,36,65,64,28,20,9,9,,,,,79,,,,,,,35,,,,,,,,,,,,,,,,,,875
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,10,10,6,6,6,0,0,6,13,13,13,13,18,6,12,25,35,39,35,35,35,35,55,34,5,,6,,,,,,60,60,60,,3,22,16,698
,Missiles,,,,,,,,,10,54,49,7,17,17,,5,5,8,,,29,,38,,18,22,49,50,63,37,92,94,91,52,57,69,129,129,114,34,36,34,30,33,60,82,151,335,367,191,164,150,101,39,3,39,61,12,11,,37,83,131,164,222,128,4002
,Naval weapons,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,,,,3,,,,3,,,,,,,,,,,,,,5,8,3,,,,,,,,,,,,,,,,3,,29
,Satellites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,50
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,36,36,36,41,,,,,,35,40,30,48,101,70,42,45,45,75,70,63,51,32,,,16,55,55,,,,,,6,112,33,,1246
,Ships,,,,,186,138,,123,85,134,51,17,26,,8,49,114,80,48,153,209,152,119,211,201,,,266,123,,10,196,133,196,80,106,90,285,285,25,115,126,,630,300,680,900,1560,600,236,58,,,,300,360,360,,,,,,72,,,,10199
