,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,97,257,481,390,77,8,297,320,265,351,72,34,292,417,36,117,294,313,428,208,366,486,349,634,774,138,181,593,549,192,401,254,149,176,371,152,854,600,617,907,883,1268,1080,785,531,559,1007,977,765,145,117,325,30,15,,,3,26,6,41,281,877,276,1124,353,24965
,Air defence systems,,,,,,70,,,,140,140,10,10,,,,,,,,,,,,,,,,,52,30,43,,28,112,112,84,84,84,,,,,,,7,39,50,158,158,158,135,135,,,198,,,,,,,,,,,2036
,Armoured vehicles,5,5,6,,,142,142,197,197,22,22,186,186,186,186,196,73,,,8,47,256,344,148,44,38,13,,,,,,83,78,43,,,,,8,140,232,418,570,135,162,1,84,60,100,58,23,43,57,62,3,83,277,269,365,55,51,29,3,47,21,6203
,Artillery,19,22,27,32,32,37,49,45,19,,,9,10,64,70,70,35,12,15,7,7,,,13,13,13,,6,7,6,,,,,,,,5,11,16,,,38,1,59,69,105,100,111,6,11,,,,69,104,104,104,173,173,173,173,173,52,,,2467
,Engines,,,,,,,,52,37,,,,,,,,,,,,,30,30,8,,,9,7,8,8,5,,,2,32,35,35,39,40,40,40,44,48,39,15,44,50,38,50,4,18,5,5,5,8,10,10,15,18,25,19,40,20,17,65,21,1088
,Missiles,,,,,,10,,,24,35,35,35,60,75,37,46,46,49,56,43,17,10,10,8,27,45,56,59,126,111,18,35,25,72,75,88,98,104,149,51,33,49,55,89,154,199,217,154,258,161,80,100,157,83,103,129,42,69,93,68,64,142,70,85,94,30,4514
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,3,3,5,15,5,,,,,,10,20,,30,5,30,,,,,10,5,,5,5,5,8,10,53,53,3,301
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,10,25,15,9,,53,29,100,95,,,,,,,,,,,,,,,,354
,Sensors,,,,,,,,,,,,,,,6,,,,,,,,,2,,36,2,6,42,42,6,,,5,13,19,16,72,121,41,12,1,1,36,86,129,153,46,49,27,52,46,36,36,,116,58,12,25,37,25,74,164,165,174,20,2008
,Ships,81,,32,,51,,,14,95,350,44,,,,151,96,59,234,37,152,112,274,225,262,54,168,214,67,186,139,227,248,116,132,110,63,90,256,585,229,110,,,457,610,431,370,,927,411,543,84,204,120,,544,229,213,102,102,102,,160,,,,10868
