,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,,,,,,,,,,,,,11,9,16,20,25,89,103,65,165,117,88,10,5,105,75,119,153,74,15,15,9,479,286,71,10,281,261,76,141,8,,10,19,30,73,479,922,1739,1453,535,637,337,196,816,581,442,107,401,11677
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,35,100,64,,,,,,23,,75,113,,,10,10,,,,,,10,10,,,,,,,,,,,88,264,66,176,286,165,250,1744
,Armoured vehicles,,,,,,,,,,,,,,,,,,,2,4,53,3,,,,11,19,23,23,5,56,80,64,18,31,34,10,,,2,,,116,138,191,277,268,361,381,320,193,134,130,56,13,10,49,5,7,29,19,15,2,194,5,6,3352
,Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,15,20,13,,,8,11,,,,,11,11,6,,9,54,61,7,10,,18,23,30,,,,,,7,7,7,7,1,3,23,10,2,3,2,379
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,9,1,2,3,5,1,,,,0,0,,1,6,15,17,17,19,11,9,9,4,5,4,9,,0,10,9,21,11,65,3,15,287
,Missiles,,,,,,,,,,,,,,,,,,,,,,2,2,4,3,43,11,21,14,3,39,31,,11,28,17,27,37,,65,59,46,20,99,106,34,48,68,119,34,21,11,10,146,271,390,429,342,65,43,83,154,300,586,340,394,4572
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,3,6,,3,52
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,30
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,5,,5,10,,,75,,5,13,26,70,32,19,,,,18,8,9,11,2,2,2,,,,20,21,21,36,54,30,11,5,66,,56,657
,Ships,,,,,,,,,,,,,,,,,,,,,,,,,,25,12,,,,88,176,,15,,,,11,,30,164,76,,,,,,198,198,22,,,,,,,53,9,,,,104,,559,107,161,2008
