,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,105,246,532,1541,410,44,30,45,36,35,12,15,17,17,29,12,40,1276,1453,1765,60,105,107,43,43,48,73,107,112,113,301,331,216,70,426,126,71,18,49,40,64,804,1053,28,15,40,54,110,147,76,785,1117,263,292,68,,,180,289,69,150,52,280,253,178,330,16812
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,21,,,72,113,106,,,8,,,,,,14,14,,,,10,10,,,14,28,42,42,,,,,14,550
,Armoured vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,1,,,9,8,9,11,3,83,63,95,70,72,,,,,428
,Artillery,,,,,,10,,,,,6,9,9,9,,21,49,28,,,,,,,,,5,5,,,,28,29,20,,,,,5,,12,16,16,16,12,,,,,,,,,,,,,2,,,,,,,,,305
,Engines,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,1,14,14,14,14,19,14,9,5,,,,3,5,5,5,15,10,5,5,35,7,6,11,7,68,64,24,24,452
,Missiles,,,,,,47,43,,504,508,8,10,12,64,90,119,119,114,835,805,,53,110,186,240,242,126,114,60,107,152,367,451,83,75,100,100,95,80,45,25,36,36,727,378,448,439,377,368,,26,83,55,67,98,11,101,102,104,168,203,222,193,123,12,14,10476
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
,Sensors,,,,50,102,90,53,44,5,5,3,,,,,,,,,,,12,10,5,9,19,28,5,10,25,98,86,95,86,106,105,22,,,,,,,,,,,8,12,31,55,73,88,70,17,,7,155,18,,15,15,45,53,,,1729
,Ships,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,65,,,,,65,6,30,,,75,,200,,,,300,300,,,192,192,,,20,,,,,,1581
