,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,23,52,262,462,1607,1032,1209,449,29,44,29,173,174,173,171,55,4,14,,,2,390,347,344,275,83,193,117,118,75,73,63,63,53,10,375,144,231,108,38,100,171,287,446,429,446,255,357,160,127,158,262,220,186,268,204,229,321,349,411,422,503,496,386,239,241,16737
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,140,,70,84,70,,1449,1449,1440,40,,,,,,,,,,,,,,10,,,,,,,,,,,,4882
,Armoured vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,27,34,58,72,12,3,4,78,6,32,5,3,1,2,3,,2,2,84,138,102,128,174,213,208,156,204,137,103,41,,,2040
,Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,29,40,40,40,40,36,8,,,1,7,2,,13,55,127,150,172,174,176,173,123,58,,,1550
,Engines,329,650,620,860,860,860,860,920,670,599,160,40,40,40,40,20,20,20,20,20,23,117,268,316,313,262,250,200,200,101,56,20,,60,75,89,99,124,110,99,113,94,94,80,30,75,48,24,14,1,8,24,30,33,33,33,47,61,61,61,61,33,153,52,60,42,11796
,Missiles,,,,,,,,,,,30,25,50,110,115,115,85,50,50,50,20,,,,,,,3,3,17,24,24,,22,22,22,,,,,,25,58,90,50,20,47,25,25,5,55,51,51,51,50,41,12,,,,,,19,19,,,1529
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,13,25,25,30,28,15,10,13,10,10,10,8,3,,,,,,,,,,,,,,,,5,,5,,5,,5,10,235
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,60,50,50,50,50,50,10,60,100,100,142,75,107,50,50,50,1085
,Sensors,,,,,,,,,,,,,,,,,,,,,,2,5,5,5,,6,12,,6,30,110,110,137,116,50,18,58,30,59,18,45,26,18,20,10,10,10,8,5,25,49,32,42,33,10,42,15,56,67,102,74,98,88,106,116,1882
,Ships,,,,,,,,,,,,,,,,,,,,,,30,60,,,,,,,,,69,,34,,,102,47,74,93,28,74,37,283,408,195,184,163,54,54,22,42,30,92,,,,,,,,,76,107,106,106,2570
