,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,61,,20,70,,30,94,105,94,7,10,,5,30,0,,33,233,10,2,11,119,80,183,107,86,7,56,31,14,54,52,34,157,32,456,45,26,54,93,105,231,48,16,1,,35,33,8,60,57,12,2,15,,4,353,720,561,109,104,1,47,93,53,11,5175
,Air defence systems,,,,,,,,,,,,,,,,,3,,,,,,6,9,,,,,,,,,45,45,,30,30,,,,,,,,,,,,,,,,,,,,,,,,,90,90,570,60,,979
,Armoured vehicles,,,,,46,,,,,,,,,,,,,,,5,,10,10,95,85,3,2,,3,,,,,4,8,,,,38,25,49,38,,,,,,,,,,,,,,,,,,,,116,214,102,33,133,1015
,Artillery,,,,,,,,,,,,,,6,2,,4,,,,,,5,24,1,,,2,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,45,29,42,8,14,200
,Engines,,,,,,,30,30,,,,,,,,,,,,,,,,,,,,,,,18,46,28,,3,,14,10,,1,1,4,,,,,,,,,,5,8,,,,,,,8,19,32,8,,,,262
,Missiles,,,,,,,,,,,,,,,,,,4,,1,,,4,3,3,15,38,38,1,1,60,68,60,5,5,20,18,10,10,,12,19,9,20,,,,,,,20,13,5,,9,5,8,27,136,144,27,14,182,330,8,,1353
,Naval weapons,,,,,,,,,,,,,,,,,,,10,,,,,,5,3,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,7,7,26,7,,,,73
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,20
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,10,30,4,,,,2,32,40,32,19,11,10,0,,,3,5,8,3,,5,,4,,25,31,28,35,,,12,20,27,41,67,28,83,21,,,,634
,Ships,,,,140,150,,290,150,26,,39,,21,,,,,,,,,,64,85,45,89,125,125,24,,241,723,482,,147,,,,,,,,,,,,,,,,,45,,,,,,,,24,24,188,83,28,10,4,3370
